Source_Name,AGN_BDT_MEAN_O,AGN_BDT_STD_O,PSR_BDT_MEAN_O,PSR_BDT_STD_O,AGN_NN_MEAN_O,AGN_NN_STD_O,PSR_NN_MEAN_O,PSR_NN_STD_O,AGN_RF_MEAN_O,AGN_RF_STD_O,PSR_RF_MEAN_O,PSR_RF_STD_O,AGN_LR_MEAN_O,AGN_LR_STD_O,PSR_LR_MEAN_O,PSR_LR_STD_O
4FGL J0000.3-7355,0.9999321292792379,3.936610493974934e-05,6.787072076209358e-05,3.936610493974745e-05,0.996613086159032,0.002653612128476355,0.0033869138409679173,0.002653612128476355,0.9978500953335057,0.0038462474339838897,0.0021499046664942892,0.0038462474339838863,0.9995871623298517,0.00016066433509463445,0.00041283767014822017,0.00016066433509463374
4FGL J0003.3+2511,0.9993703333698615,0.0007366311659129619,0.0006296666301385229,0.0007366311659129616,0.9395397756679679,0.042067550740403116,0.06046022433203214,0.042067550740403116,0.9775520275045656,0.016701574574654213,0.022447972495434464,0.01670157457465421,0.9411834468326417,0.014015242673033132,0.05881655316735836,0.014015242673033132
4FGL J0003.6+3059,0.9273802519888846,0.08449590520644293,0.0726197480111153,0.08449590520644293,0.5339993463550675,0.1661206947338082,0.4660006536449324,0.1661206947338082,0.8260269231875031,0.05706298907591824,0.1739730768124968,0.05706298907591824,0.6314844171936648,0.05421444628445663,0.36851558280633523,0.05421444628445663
4FGL J0004.0+5715,0.9873075361403686,0.019373099069791674,0.01269246385963142,0.019373099069791674,0.9728918894751767,0.01898422809293723,0.027108110524823266,0.018984228092937226,0.97232293742331,0.016021155042883636,0.027677062576690007,0.01602115504288364,0.9326666350048465,0.016811267389849515,0.06733336499515342,0.016811267389849515
4FGL J0004.4-4001,0.9999663640854649,2.3926702170817358e-05,3.363591453508213e-05,2.392670217081864e-05,0.996974945165013,0.002369638760053296,0.0030250548349871243,0.002369638760053296,0.9982598709294103,0.0027301998814370414,0.001740129070589794,0.00273019988143704,0.9999337612123345,2.884841209417294e-05,6.62387876655853e-05,2.8848412094172167e-05
4FGL J0005.6+6746c,0.9556716033412508,0.07724551099299513,0.04432839665874917,0.07724551099299513,0.754138315584717,0.13661161307807929,0.245861684415283,0.13661161307807929,0.924951630652767,0.033598425775724076,0.07504836934723294,0.033598425775724076,0.7569923998297049,0.05894897024858039,0.24300760017029507,0.05894897024858038
4FGL J0006.6+4618,0.9998920371240808,8.334215481793278e-05,0.0001079628759191506,8.334215481793231e-05,0.9966347107320428,0.002248377658422873,0.0033652892679572636,0.002248377658422874,0.9987065283992763,0.0022844392438321846,0.001293471600723708,0.002284439243832183,0.9978510682639483,0.0006635625543731321,0.0021489317360517905,0.0006635625543731325
4FGL J0008.4+6926,0.9998127487700733,0.00019029762007719879,0.00018725122992657324,0.00019029762007719944,0.9908350438343247,0.00729057357960039,0.009164956165675196,0.007290573579600388,0.9880857677447112,0.012708726003129948,0.011914232255288787,0.012708726003129948,0.9938574456294038,0.002535701453214784,0.006142554370596166,0.002535701453214782
4FGL J0008.9+2509,0.9997219093303191,0.0002968654726692738,0.00027809066968085584,0.00029686547266927313,0.995269887597451,0.0030364639616239824,0.004730112402548908,0.0030364639616239798,0.9907175321717892,0.006801544321527852,0.00928246782821087,0.006801544321527846,0.9981882816061373,0.0008146005669189591,0.0018117183938627713,0.0008146005669189604
4FGL J0009.1-5012,0.999638609341494,0.00031906346382068294,0.0003613906585060774,0.0003190634638206833,0.9957761787284981,0.003316305285417392,0.004223821271501906,0.0033163052854173927,0.9950408092699212,0.0052533402952260775,0.004959190730078882,0.005253340295226073,0.9988790457030013,0.0004248176471575408,0.0011209542969986485,0.00042481764715754145
4FGL J0009.2+6847,0.8409204649790724,0.14340013148021763,0.15907953502092761,0.14340013148021763,0.3866941239041778,0.15365475096712652,0.6133058760958222,0.15365475096712652,0.719530681563738,0.07530255701704457,0.28046931843626205,0.07530255701704457,0.3056219950575187,0.0485406149921309,0.6943780049424814,0.04854061499213091
4FGL J0009.2+1745,0.9996510645207072,0.00034527604328511116,0.00034893547929280144,0.00034527604328511214,0.995684589637194,0.0026217011127577573,0.00431541036280598,0.0026217011127577577,0.9897157224426019,0.008808747861389254,0.010284277557398046,0.008808747861389249,0.99848439173561,0.0006040257234511203,0.0015156082643900382,0.0006040257234511185
4FGL J0009.7-1418,0.9998672032224953,0.00010272734872226196,0.0001327967775045677,0.00010272734872226222,0.9951657427265468,0.002983091853827394,0.004834257273453273,0.002983091853827392,0.9961392113672389,0.004677790015958156,0.0038607886327610176,0.004677790015958156,0.9995762943712824,0.00017288991374281429,0.00042370562871756875,0.00017288991374281477
4FGL J0017.1-4605,0.9983188192859301,0.001524223563981657,0.0016811807140699065,0.0015242235639816575,0.9925201518556059,0.005764360352321,0.007479848144394023,0.005764360352321,0.988115453130846,0.009874320117617102,0.011884546869153979,0.009874320117617102,0.998321408081536,0.000748422425278818,0.0016785919184639248,0.0007484224252788166
