Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags_3FGL,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,OTHER_BDT_O,OTHER_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,OTHER_NN_O,OTHER_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,OTHER_RF_O,OTHER_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,OTHER_LR_O,OTHER_LR_STD_O,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD,Missing_val_flag,Category_Prob,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,OTHER_BDT_S,OTHER_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,OTHER_NN_S,OTHER_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,OTHER_RF_S,OTHER_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S,OTHER_LR_S,OTHER_LR_STD_S,diffPSR_LR,diffPSR_NN,diffPSR_RF,diffPSR_BDT
3FGL J0238.0+5237,138.84839,-6.9210315,-25.1797428,-27.4406257,1.51279256,3.59950795,1.82695322,-0.576075129,-0.527433506,-0.629746476,-0.999989055,UNAS,None,0,0.0259234545,0.0356109335,0.444868921,0.256397939,0.529207625,0.257896671,0.00452105429,0.012087458,0.775787428,0.140834535,0.219691518,0.138020392,0.22276087,0.0596634177,0.590940764,0.0798393108,0.186298366,0.0538984652,0.0836079354,0.0337602503,0.791081226,0.0742419561,0.125310839,0.0542555276,0.0455767996,0.0656500131,0.384895513,0.238516414,0.569527687,0.249572686,0.0132319525,0.0226226446,0.790290527,0.11930634,0.19647752,0.109423484,0.443309683,0.0690795329,0.422382645,0.0661552587,0.134307672,0.0397336294,0.175295465,0.0423056171,0.745930365,0.0586834292,0.0787741708,0.0286805094,0,MIXED,0.03673212007484284,0.04055956553275296,0.5531008449731207,0.25461364804489606,0.4101670349520365,0.25116169150845996,0.00292051383258584,0.005441268513986344,0.7951033384309173,0.14719341913342177,0.20197614773649689,0.14655936453747387,0.16532241426762784,0.05260462553273221,0.6656208418355579,0.07443191886160805,0.16905674389681413,0.051998140388994495,0.0649240747363144,0.029932038641797713,0.8146873776395804,0.07092230155933045,0.12038854762410517,0.054291510003068255,-0.31796241478045406,-0.13122808441190303,-0.9353797908230187,-0.42212478148321136
3FGL J0312.1-0921,191.51463,-52.361996,-25.9762852,-27.8032913,1.38737929,3.86198721,1.07615684,0.410407053,-0.490385805,-0.584220445,-0.999995488,UNAS,None,0,0.354790777,0.292703859,0.472168284,0.313362772,0.17304094,0.210315407,0.216633862,0.211778128,0.53749878,0.239855639,0.245867358,0.133143812,0.284180789,0.0838689758,0.508420386,0.0949865551,0.207398824,0.068706434,0.333111867,0.112924638,0.450558747,0.137273187,0.216329387,0.111117016,0.450200537,0.337714885,0.404528534,0.328901199,0.145270929,0.217210235,0.390051594,0.255683455,0.446094718,0.249691024,0.163853688,0.0819831517,0.448309212,0.0867611765,0.392786643,0.0778047481,0.158904145,0.0565870805,0.54589044,0.0871871244,0.356851276,0.0798583358,0.0972582839,0.0544126415,0,MIXED,0.40608165092570625,0.278504630100011,0.3613589033185937,0.2824376420252981,0.2325594457557001,0.23382460971974192,0.2211512172235164,0.21294382288528346,0.536024969783374,0.24294345416471194,0.2428238129931096,0.15673097572753678,0.22135940344362082,0.07379456114322039,0.5961874275872017,0.09408824631620456,0.18245316896917743,0.0673891873936052,0.34038739082114317,0.12098525789557552,0.4193717112087916,0.14726865536348935,0.24024089797006531,0.12818789207214046,0.21176967844401365,0.006066474281816782,-0.9239943642003049,0.3536137364824124
3FGL J0318.1+0252,178.44518,-43.635,-25.8884421,-27.9314807,1.74716198,3.91640806,0.267235641,-0.247108856,-0.114351567,-0.656608947,-0.952437393,UNAS,None,0,0.0403637889,0.0988269834,0.841319422,0.203529972,0.118316789,0.173329778,0.107451431,0.160531884,0.65041318,0.245781247,0.242135389,0.161454408,0.076970815,0.0361187234,0.774816033,0.0704506433,0.148213152,0.05640334,0.247619994,0.13673923,0.629213741,0.170040253,0.123166266,0.10724403,0.0379675187,0.0949308544,0.834313629,0.227904893,0.127718852,0.200363343,0.259255583,0.236959302,0.565218355,0.26560625,0.175526062,0.104236723,0.142717033,0.0576885465,0.732396652,0.075997219,0.124886314,0.0494596958,0.419549907,0.123012366,0.519252085,0.122025834,0.0611980076,0.054903292,0,PSR,0.023091515424476947,0.06542423747646396,0.885198521272181,0.16938737034574,0.09170996330334204,0.14737860403231176,0.10853663357274486,0.15574142748507436,0.6437257291219757,0.2545901048701311,0.24773763730527948,0.1907627682109187,0.07329380045474077,0.03634327772029563,0.7945995642883997,0.06901361372846243,0.13210663525685953,0.053045016064075204,0.24303181926519804,0.14100293905791014,0.624232444793877,0.1791853793822308,0.13273573594092494,0.12229044946462389,0.027799679992289956,0.026267520811288768,-0.28081406161410755,-0.21559035674697105
3FGL J0332.4+6110,141.13936,4.12735,-25.6470665,-27.3663045,1.41482104,3.8521053,2.0307259,-0.274459289,-0.820309582,-0.830619469,-0.999902383,UNAS,None,264,0.324432738,0.202365286,0.236678619,0.172062919,0.438888644,0.257574235,0.124568794,0.137364223,0.477310453,0.185523399,0.398120754,0.193914276,0.383868364,0.0711651219,0.399728038,0.0732542736,0.216403598,0.0565839162,0.172181469,0.0599155756,0.611442174,0.112376483,0.216376358,0.0825636399,0.551015431,0.204883847,0.219965096,0.151917821,0.229019473,0.188897107,0.351907278,0.219164157,0.363475992,0.152904294,0.28461673,0.157646612,0.551645201,0.0730463783,0.313676574,0.0637429864,0.134678225,0.0407262772,0.340691331,0.0615866146,0.537248314,0.0700129084,0.122060355,0.036325802,0,MIXED,0.35567683704490993,0.18300644620687725,0.3123556857387732,0.18588749351331924,0.3319674772163169,0.19895716345420958,0.10855696407128969,0.138812809509797,0.46867332261973516,0.21274735269498543,0.4227697133089752,0.21547974968322767,0.35632667954167696,0.07175669512104398,0.42653574844282766,0.0716325171129827,0.2171375720154954,0.06036422632007156,0.15280805346370488,0.06123146476774763,0.6288376159963633,0.12961496125203967,0.21835433053993178,0.0968936773333011,-0.13420859620161785,0.040598062776592427,-0.36595421844204384,-0.4071122016250694
3FGL J0336.1+7500,133.10916,15.503392,-25.3317607,-27.5922533,1.54690016,3.52188813,1.56137951,-0.303334611,-0.440471216,-0.65130927,-0.848773619,UNAS,None,0,0.0283643623,0.0350833262,0.961700327,0.0421294403,0.00993531106,0.0123205835,0.0304013996,0.0606935274,0.852411399,0.128455449,0.117187201,0.112956049,0.165578438,0.0721870392,0.742937489,0.0807787537,0.0914840723,0.0337675964,0.0930186277,0.0358908584,0.810639594,0.0626159664,0.0963417782,0.0452809722,0.0872788624,0.104793102,0.901862716,0.109052238,0.0108584214,0.0104086277,0.0924823697,0.0926768426,0.784200107,0.135178028,0.123317524,0.105752014,0.438573615,0.0896785722,0.485198063,0.0874641781,0.0762283223,0.0286531643,0.214598361,0.0457811282,0.726388179,0.0530100539,0.0590134602,0.0244633984,0,PSR,0.012890489862931759,0.013392282183135549,0.9218809837552199,0.10236842274301163,0.06522852638184835,0.09937387173182871,0.02650474520087608,0.05779702917957399,0.8915582117653409,0.11231926919928462,0.081937043033783,0.09046298912206904,0.10444803948885834,0.05436199729386945,0.7839374346238046,0.0727733709799619,0.11161452588733693,0.042188886208377845,0.0674995362962552,0.030250868724287564,0.8499853732620734,0.05753140354195135,0.0825150904416714,0.043703301636671715,-0.6283665576719963,-0.30475011430103627,-0.5075585317405634,0.38898072450274646
3FGL J0340.4+5302,146.78088,-1.8154122,-24.0270999,-27.0614076,1.78328812,3.84146093,3.10661566,-0.656432988,-0.937801718,-0.999879594,-0.539181681,UNAS,None,0,0.342712576,0.242441401,0.301306396,0.22900647,0.355981028,0.245778125,0.0459192461,0.118877332,0.367905815,0.206647439,0.586174939,0.216336094,0.466769703,0.0759765895,0.260835742,0.0676145919,0.272394555,0.0734808578,0.097909035,0.085366271,0.636243028,0.240942724,0.265847937,0.194211108,0.462836347,0.256052411,0.220958964,0.180404627,0.316204689,0.229707069,0.0599173989,0.12564258,0.336288007,0.184561633,0.603794594,0.199942913,0.576639599,0.0738757063,0.217742261,0.0625310685,0.205618141,0.0592649467,0.236221333,0.0965833808,0.595431909,0.144593477,0.168346759,0.0890677322,0,MIXED,0.31522863099758913,0.22701469894069434,0.4642650702076966,0.2511499771184665,0.2205062987947144,0.20053847658651186,0.02393691538757401,0.07299716144193776,0.5123869011490992,0.2646342156559148,0.4636761834633268,0.25922210762511455,0.4275304072753098,0.07273848391950911,0.2879384385905986,0.06877149781043278,0.2845311541340916,0.0675901175375729,0.06973651700610463,0.07229609316258784,0.6900318212399192,0.2415511371235677,0.24023166175397603,0.20261287923899066,-0.22268077012778914,-0.5459652516625355,-0.3940978087362098,-0.6488500460058956
3FGL J0345.3+3236,160.33722,-17.353065,-25.5284299,-27.5244179,1.61040609,3.99628375,1.92612187,-0.0959878622,-0.800453791,-0.839342731,-0.44694474,UNAS,None,2048,0.824590398,0.137745049,0.12845847,0.126211567,0.0469511319,0.0452968115,0.871625515,0.182745807,0.0516406044,0.0906073303,0.0767338803,0.12388677,0.584675769,0.0913617759,0.245958805,0.0745647667,0.169365426,0.0687704191,0.582760474,0.146221503,0.185249887,0.149379106,0.231989639,0.113474394,0.866024635,0.123727136,0.111218049,0.113463514,0.022757316,0.0238249402,0.95200933,0.086457298,0.0183660795,0.0342570061,0.0296245907,0.0590473618,0.690444346,0.0820891213,0.186850889,0.0601501425,0.122704765,0.056250268,0.798508318,0.0820990813,0.134327279,0.0745425892,0.0671644028,0.0339504928,0,AGN,0.8412691661144691,0.1274866725463215,0.11552625242424396,0.11482765083366597,0.04320458146128694,0.04691817152515439,0.8677786731045996,0.16171706912356362,0.05649454627681206,0.09000371637670453,0.07572678061858835,0.09566851860680887,0.5809595467355803,0.08563887744503483,0.24665761507277997,0.07010284847252408,0.17238283819163974,0.06323927755505672,0.5878716410408369,0.1478835907837231,0.17670260427637896,0.1558164902831217,0.2354257546827842,0.12321785919027708,0.054854802005169394,-0.05357118304601522,-0.0093718535403125,0.10246459879351658
3FGL J0359.5+5413,148.25932,0.87194085,-24.4328099,-26.9663649,1.82518886,3.51544181,1.77626763,-0.344932846,-0.575383088,-0.688503198,-0.999988362,UNAS,None,0,0.00248130995,0.00445913092,0.603737195,0.258899376,0.393781495,0.258864482,3.18390892E-4,0.0013553357,0.761820473,0.130324029,0.237861136,0.130139606,0.0540251627,0.0236407639,0.764984104,0.0654138543,0.180990734,0.0583518278,0.0101707094,0.00634491959,0.87991887,0.053133318,0.10991042,0.0503742218,0.00129664518,0.00240224886,0.626165592,0.258153131,0.372537762,0.258122588,0.00129346798,0.00300365628,0.794273404,0.0691988445,0.204433128,0.0689937655,0.126440998,0.0455427743,0.720986104,0.0658397885,0.152572898,0.0469305079,0.0226115029,0.00909703782,0.871566666,0.0394982377,0.105821831,0.0357107461,0,PSR,0.0030040014791218174,0.004462418405010462,0.6387578411861912,0.2556746280081651,0.3582381573346869,0.25566790674641643,2.0926603233788795E-4,7.603512463871626E-4,0.7736949916222582,0.19430643952832116,0.22609574234540403,0.19427469815684947,0.048986056577171436,0.02412189348029373,0.7649113789432179,0.0652193830673732,0.18610256447961063,0.058999322309724725,0.005675032211793905,0.004035166191717008,0.9078819230888717,0.0502426427926042,0.08644304469933427,0.04835906938133952,-0.526280950285689,-0.061112326750897096,0.001111768409924291,-0.13526740283140412
3FGL J0426.7+5437,150.86702,3.873888,-24.5728036,-26.6419348,2.0393272,3.94801134,1.86888214,-0.219263908,-0.595499862,-0.90209441,-0.99995292,UNAS,None,0,0.014411987,0.0251119429,0.919868315,0.106590753,0.0657196981,0.0964143503,0.00627787715,0.0112310325,0.650934555,0.168943362,0.342787568,0.169565512,0.0457040166,0.0230527877,0.727180848,0.0879517123,0.227115136,0.0860988056,0.0245908543,0.014942939,0.791436634,0.0882687718,0.183972512,0.0814211965,0.0155270328,0.0229239468,0.938368244,0.0781097836,0.0461047233,0.0666402326,0.0164216649,0.0224883811,0.712854987,0.12178661,0.270723348,0.124222824,0.0804871519,0.0351122731,0.741291745,0.0712124598,0.178221103,0.0642183618,0.0405685347,0.0178982754,0.813774726,0.0508124532,0.145656739,0.0435480816,0,PSR,0.022069805816153813,0.027524873856114348,0.8259616782069027,0.16902436585126113,0.1519685159769434,0.1618801010481739,0.007102127424874836,0.013248742695044656,0.643391731989945,0.2090749071971365,0.3495061405851802,0.2085771903960891,0.03911202312593265,0.021317030115249522,0.7282610895414917,0.08351996450486437,0.23262688733257555,0.0809287502609991,0.016936913005373158,0.010748997544415766,0.8220818035642731,0.08800660691115474,0.16098128343035387,0.08257380554516304,-0.3471801967938235,0.03607713192928893,-0.012282211605011204,0.5555804710176148
3FGL J0431.7+3503,165.72685,-8.929448,-25.2577462,-27.1332158,1.39019763,3.88495564,2.21872642,-0.699631709,-0.790211708,-0.602554483,-0.999971298,UNAS,None,4,0.500162198,0.204282146,0.201867645,0.144769754,0.297970158,0.186458955,0.1388361,0.127889686,0.499632075,0.162569883,0.361531826,0.155467205,0.481821684,0.0766365145,0.32090159,0.0664628436,0.197276727,0.0508741412,0.241762003,0.0713410718,0.415380535,0.121665645,0.342857462,0.0875014323,0.710954371,0.175562965,0.163393885,0.125961273,0.125651744,0.103043235,0.288404394,0.184667562,0.436691921,0.141996425,0.274903685,0.128185159,0.694361395,0.0647745912,0.20445816,0.0528777778,0.101180445,0.0322345903,0.361643394,0.0620268331,0.464788216,0.0712002135,0.17356839,0.0373072351,0,MIXED,0.4217478244070504,0.20739592361534667,0.18445537458723477,0.14952397039291584,0.3937968010057149,0.2183308732203929,0.13243235480057058,0.1331324187846709,0.4721909221767581,0.17678309750365526,0.3953767230226713,0.17112788402894163,0.44661150747005557,0.07576995277126745,0.34748843456668943,0.06600057698048364,0.20590005796325508,0.05496882296804294,0.229830382555921,0.07486052439545227,0.3842815495303746,0.12894669802808048,0.38588806791370434,0.09915356669461071,0.24117705955411942,0.15522498027660422,-0.4000256854295866,0.11645136473442794
