Source_Name,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD
3FGL J0001.0+6314,0.9326141519818107,0.07420990281975763,0.013305059260861321,0.012056050709625791,0.05408078875732786,0.07127653404732189,0.4659178928339185,0.40375423210340244,0.057402885297496785,0.05721995484805101,0.4766792218685848,0.3718837639934124,0.7983679921714713,0.05945195026362435,0.08958681547751574,0.03317079610786637,0.11204519235101312,0.045346763119192786,0.9524439333365655,0.021422897762757874,0.0008312738514079817,0.0006937709196018758,0.046724792812026524,0.021294155432391996
3FGL J0001.2-0748,0.9704660609668715,0.028856080238734365,0.024628787501642033,0.027245361799695465,0.004905151531486414,0.0032917173255052026,0.9246821460509811,0.054758245740206664,0.03795794368571371,0.034637896687616056,0.03735991026330514,0.025559967065260352,0.8355624246682458,0.051823043540930744,0.13028973081969725,0.045950921623494685,0.03414784451205698,0.016229560197740238,0.9076448762235124,0.023906685245025983,0.04306146216332513,0.013460716085147557,0.04929366161316242,0.017819127257216568
3FGL J0001.4+2120,0.9993590571009626,0.0008132977119310437,0.0002000176442921785,0.0003319161936733113,0.00044092525474533756,0.000577848818432018,0.9953397006780983,0.003446502670591662,0.001123123125538499,0.0010458170665389869,0.003537176196363322,0.002763508428125202,0.9521697436876001,0.02281570982111629,0.02393987913450973,0.015066217730855152,0.023890377177890207,0.015500979078256276,0.9974558909251099,0.004755627418525609,0.0010744252077084,0.0029395042040102157,0.001469683867181824,0.0025134051994009396
3FGL J0002.2-4152,0.9997362877314699,0.0001842295440302542,3.7691650423510606e-05,2.175994401502643e-05,0.00022602061810648598,0.00017475470717479697,0.9962909597541382,0.003166613802925915,0.0009409287244705911,0.0009906060954547235,0.0027681115213912763,0.002393331433813085,0.9880744436254271,0.0036238492559963124,0.004182957739158316,0.0013177363698987025,0.007742598635414503,0.0031253790676179704,0.9993118597663505,0.0004192295898662118,5.067108356630962e-06,5.638131142587893e-06,0.0006830731252929934,0.0004170092695437096
3FGL J0003.2-5246,0.9993825622595761,0.00038513745940951696,7.394861158048147e-05,4.747455072730962e-05,0.0005434891288433752,0.0003580848335294659,0.9945727231170552,0.005213306141785338,0.0013268341377799865,0.0016385392201173435,0.0041004427451649455,0.004038249384157142,0.985440204891185,0.004796447035785723,0.005717915977603685,0.002922766349251446,0.008841879131211363,0.00344478332216386,0.9943688515282868,0.003554645141808962,0.0018211404287206856,0.0011022047150984968,0.0038100080429924574,0.0030683676581477956
3FGL J0003.8-1151,0.9992925619469538,0.0005342015274048203,0.00028584575937349503,0.0002880435681489238,0.00042159229367265985,0.0003305099530982123,0.9937959609785263,0.005218722416506475,0.0016341902378651486,0.0016981821129258827,0.004569848783608555,0.004032420465574236,0.9803176975650838,0.00719050911534413,0.010700537220595255,0.005760797338329335,0.008981765214320899,0.0033727609346195964,0.9783270168035544,0.013191302881713657,0.006565155303728679,0.004513147327993047,0.015107827892716807,0.01080996662294544
3FGL J0004.7-4740,0.993947368109786,0.007047000269950688,0.003462799999729596,0.0052127838991004125,0.0025898318904844565,0.003228642579052409,0.9853067984382967,0.010812267518640709,0.00513500702525706,0.004748457078241352,0.009558194536446367,0.007155022627374027,0.9341285496349149,0.03428633777595051,0.03750688255760948,0.02315699383584325,0.028364567807475545,0.02108120882856799,0.9847299189226466,0.00910181166529127,0.006110985338311965,0.0039649584300990495,0.009159095739041475,0.00746115112380167
3FGL J0006.4+3825,0.9993271219258275,0.000604954999771632,0.0003942397521934541,0.00046802420823363394,0.0002786383219791487,0.0002467400175418424,0.9857153349879434,0.017537645863766566,0.004211776542925789,0.004746582766132527,0.010072888469130776,0.014288911379784318,0.9794367700203479,0.010076954335691841,0.010208785039849903,0.008183780940954578,0.010354444939802098,0.005743690914531842,0.9744089360887133,0.01254885124831183,0.011749087780601498,0.004787131473347053,0.013841976130685222,0.01029481355978924
3FGL J0007.0+7302,0.0011822799143893367,0.0021166866060719066,0.9301190415336199,0.1102869587553731,0.0686986785519908,0.10970681033168683,0.0018595133480544968,0.006636816247387209,0.9427633734390093,0.0523104431141271,0.0553771132129364,0.050410988333323636,0.08350041615403382,0.042143913227166055,0.6553211407921912,0.08685790678466604,0.261178443053775,0.07930604911084799,0.0006817692157195166,0.000525498551861395,0.966340693879964,0.01672927418876035,0.032977536904316436,0.016558394731717756
3FGL J0008.0+4713,0.9318240049102116,0.04615120634042512,0.027234068377984373,0.02428339731793415,0.040941926711804154,0.030185191853330223,0.6859226583260751,0.21283689180383178,0.19349610210556029,0.13598639310615945,0.12058123956836457,0.1130692746485522,0.9170807066004952,0.029957662866109305,0.039197829420938496,0.017986076496351106,0.043721463978566306,0.01898827263823873,0.5779929696871928,0.060629101296799694,0.21042400827341562,0.04568222768229284,0.2115830220393915,0.04869565128685113
3FGL J0008.6-2340,0.9902866780476733,0.04746053919554898,0.0007616475971201588,0.007705875070059306,0.008951674355206628,0.046905192148351774,0.9963599407679319,0.00321554985448342,0.0008753753348232932,0.0009964544159199906,0.0027646838972447602,0.0024812677268990775,0.9598760664305722,0.020155084133183558,0.018406254362814085,0.011513981127983224,0.0217176792066137,0.015525914429458497,0.9976569117908828,0.0022667483143478688,0.00011952307055717921,0.00014069453362978355,0.002223565138560147,0.0022280710793894263
