Source_Name_4FGL,GLAT,Ln_Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,HR12,HR23,Unc_PLEC_Expfactor,HR34,HR45,HR56,HR67,Ln_Variability_Index,Ln_Pivot_Energy,Category_4FGL,CLASS_4FGL,SpectrumType,ASSOC_FGL,ASSOC1,GLON,Flags,AGN_BDT_O,AGN_BDT_O_STD,PSR_BDT_O,PSR_BDT_O_STD,AGN_NN_O,AGN_NN_O_STD,PSR_NN_O,PSR_NN_O_STD,AGN_RF_O,AGN_RF_O_STD,PSR_RF_O,PSR_RF_O_STD,AGN_LR_O,AGN_LR_O_STD,PSR_LR_O,PSR_LR_O_STD,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,Category_Prob
4FGL J0003.9-1149,-71.0751,-21.9712739,2.1277146,0.17358784,0.26229075,2.7669737,0.99950075,-0.29548064,0.003313223,-0.45793995,-0.6076023,-0.6580359,-1,1.55247479,7.42655836,AGN,bll,PowerLaw,3FGL J0003.8-1151,PMN J0004-1148,84.5954208,0,0.992254648,0.007773832,0.007745352,0.007773832,0.875831852,0.153299009,0.124168148,0.153299009,0.931885563,0.036694613,0.068114437,0.036694613,0.865909965,0.052394256,0.134090035,0.052394256,0.99930194,0.000499,0.000698,0.000499,0.941561768,0.048602177,0.058438232,0.048602177,0.980539254,0.013632656,0.019460746,0.013632656,0.969876897,0.008445503,0.030123103,0.008445503,AGN
4FGL J0004.0+0840,-52.397846,-22.2225257,2.1019166,0.3493307,0.35344642,1.9199413,-0.7333959,-0.82922935,0.004621129,-0.263176,-0.34118363,-0.9277368,-0.38397604,2.20135899,7.71143169,AGN,bcu,PowerLaw,3FGL J0004.2+0843,SDSS J000359.23+084138.1,103.495979,0,0.996833211,0.003278235,0.003166789,0.003278235,0.995948131,0.007585727,0.004051869,0.007585727,0.973875028,0.019651153,0.026124972,0.019651153,0.973875352,0.012405653,0.026124648,0.012405653,0.998647647,0.001290517,0.001352353,0.001290517,0.994461676,0.003278684,0.005538324,0.003278684,0.98454461,0.010147739,0.01545539,0.010147739,0.993330535,0.002072864,0.006669465,0.002072864,AGN
4FGL J0004.4-4737,-67.53783,-21.4455073,2.4149895,0.08525738,0.07762944,1.6479106,-0.5088327,-0.6246758,0.00165742,-0.68644005,-0.6296224,-0.8792685,-0.9996954,4.81553672,6.73980898,AGN,fsrq,PowerLaw,3FGL J0004.7-4740,PKS 0002-478,323.985992,0,0.999837017,0.000141,0.000163,0.000141,0.999271547,0.001291995,0.000728,0.001291995,0.996384524,0.005610416,0.003615476,0.005610416,0.999891487,7.5e-05,0.000109,7.5e-05,0.999829417,0.00011,0.000171,0.00011,0.997254763,0.002045454,0.002745237,0.002045454,0.997450869,0.0030363,0.002549131,0.0030363,0.999968962,1.63e-05,3.1e-05,1.63e-05,AGN
4FGL J0005.9+3824,-23.613338,-21.5127929,2.6667964,0.088459425,0.15494637,2.5308628,-0.33966902,-0.6492034,0.003964011,-0.7973692,-0.8310779,-0.9756107,-0.9979963,3.14725114,6.3003217,AGN,fsrq,PowerLaw,3FGL J0006.4+3825,S4 0003+38,113.232277,0,0.998757632,0.001753242,0.001242368,0.001753242,0.991432993,0.016713688,0.008567007,0.016713688,0.969841682,0.019241433,0.030158318,0.019241433,0.933437204,0.026229596,0.066562796,0.026229596,0.999711329,0.000299,0.000289,0.000299,0.995679451,0.002454102,0.004320549,0.002454102,0.993660876,0.003792598,0.006339124,0.003792598,0.994455176,0.001791413,0.005544824,0.001791413,AGN
4FGL J0006.3-0620,-66.62518,-22.7956079,2.1706007,0.32504353,0.2742178,1.4384562,-0.7402131,-0.47549298,0.005508119,-0.6603258,-0.24981126,-0.7283422,-0.9998477,2.90174992,7.615093,AGN,bll,PowerLaw,,PKS 0003-066,93.6470184,0,0.999939907,8.59e-05,6.01e-05,8.59e-05,0.99823297,0.003418955,0.00176703,0.003418955,0.988923321,0.011293667,0.011076679,0.011293667,0.998150744,0.000961,0.001849256,0.000961,0.999975966,2.07e-05,2.4e-05,2.07e-05,0.99626905,0.002795657,0.00373095,0.002795657,0.994171522,0.008210377,0.005828478,0.008210377,0.999495318,0.000187,0.000505,0.000187,AGN
4FGL J0006.4+0135,-59.29749,-22.4552382,2.0946035,0.32759845,0.16732785,1.0555145,0.9482971,-0.510186,0.003174407,-0.48057696,-0.46150512,-0.63044417,-0.9993743,0.881951776,7.8077893,AGN,bcu,PowerLaw,3FGL J0006.2+0135,NVSS J000626+013611,100.477448,0,0.997642243,0.002693503,0.002357757,0.002693503,0.966845536,0.057681934,0.033154464,0.057681934,0.976811254,0.019165268,0.023188746,0.019165268,0.919593906,0.03040778,0.080406094,0.03040778,0.999134234,0.000795,0.000866,0.000795,0.982300077,0.012384655,0.017699923,0.012384655,0.991053245,0.009754625,0.008946755,0.009754625,0.979002417,0.005970941,0.020997583,0.005970941,AGN
4FGL J0007.0+7303,10.46168,-16.5194819,2.027981,0.008471716,0.27321246,62.408077,-0.036784146,-0.18357185,0.007791253,-0.3906637,-0.5268494,-0.82772505,-0.9291842,1.41675212,7.28090337,PSR,PSR,PLSuperExpCutoff,3FGL J0007.0+7302,PSR J0007+7303,119.662628,0,0.24285514,0.303904755,0.75714486,0.303904755,0.000105,0.000289,0.999894598,0.000289,0.146113252,0.066138267,0.853886748,0.066138267,0,0,1,0,0.210428922,0.233881664,0.789571078,0.233881664,0.020276908,0.019593857,0.979723092,0.019593857,0.188871345,0.068802437,0.811128655,0.068802437,2.85e-14,1.33e-13,1,1.33e-13,PSR
4FGL J0007.7+4008,-21.972776,-21.7353604,2.1567848,0.1894369,0.22259808,2.5580692,-0.6870005,-0.357196,0.002382811,-0.6449736,-0.35720858,-0.8215037,-0.99979246,2.88287337,7.53592331,AGN,bcu,PowerLaw,3FGL J0007.9+4006,NVSS J000741+400830,113.937012,0,0.990680205,0.008181944,0.009319795,0.008181944,0.995951165,0.007156158,0.004048835,0.007156158,0.869296324,0.058668435,0.130703676,0.058668435,0.96991185,0.01051876,0.03008815,0.01051876,0.998211588,0.001905856,0.001788412,0.001905856,0.99617031,0.00241791,0.00382969,0.00241791,0.988512834,0.010031307,0.011487166,0.010031307,0.99500916,0.001304218,0.00499084,0.001304218,AGN
4FGL J0008.0+4711,-15.033559,-20.0038765,2.0525768,0.050815575,0.079398826,3.5582082,-0.6842743,-0.22422804,0.000388,-0.5103293,-0.44690558,-0.6171973,-0.70254654,2.00569525,7.2470261,AGN,bll,LogParabola,3FGL J0008.0+4713,MG4 J000800+4712,115.316254,0,0.978420017,0.017021418,0.021579983,0.017021418,0.93935345,0.069802998,0.06064655,0.069802998,0.951611512,0.033402121,0.048388488,0.033402121,0.770994634,0.055045845,0.229005366,0.055045845,0.995849501,0.002999801,0.004150499,0.002999801,0.983662199,0.010274961,0.016337801,0.010274961,0.96726215,0.022221198,0.03273785,0.022221198,0.961889986,0.008118391,0.038110014,0.008118391,AGN
4FGL J0008.0-3937,-74.58333,-22.5506577,2.5685303,0.33063605,0.72450393,3.0652084,-0.88668066,0.7115299,0.02036135,-0.773522,-0.9073874,-0.995771,-0.9979873,0.900028482,6.72193593,AGN,bcu,LogParabola,,PMN J0008-3945,335.996185,16,0.989991304,0.014767218,0.010008696,0.014767218,0.89449143,0.118309936,0.10550857,0.118309936,0.835948839,0.064571004,0.164051161,0.064571004,0.305955914,0.162048547,0.694044086,0.162048547,0.988031792,0.01607546,0.011968208,0.01607546,0.93047039,0.053054555,0.06952961,0.053054555,0.914133479,0.034969406,0.085866521,0.034969406,0.900542243,0.038270008,0.099457757,0.038270008,MIXED
