Source_Name,AGN_BDT_S,AGN_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,Category_3FGL,AGN_BDT,AGN_BDT_STD,AGN_NN,AGN_NN_STD,AGN_RF,AGN_RF_STD,AGN_LR,AGN_LR_STD,AGN_BDT_O,AGN_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,Category_Prob,diffRF,diffLR2,diffBDT,diffNN,diffNN2,diffLR,diffRF2,diffBDT2
3FGL J0001.2-0748,0.6780411817939072,0.172830721262916,0.9358655708645695,0.09077680531362782,0.6805030298596046,0.09204670329463517,0.813715891837138,0.06947384130497743,AGN,0.979117449,0.020642337,0.980018196,0.0620379905,0.855719605,0.0495325731,0.938921963,0.0141098207,0.872627749,0.108176351,0.862088439,0.172092397,0.805205335,0.0638619486,0.705782126,0.0816852477,AGN,-1.1131053867646614,1.3213373145851155,-0.9543537004393875,0.3791867347055075,0.42870651551543826,1.0065271914519145,-1.3547720958699832,-1.1258795067462635
3FGL J0001.4+2120,0.9999414957651543,9.182434886327279E-5,0.9978755807519146,0.002945876395776657,0.9608417928445881,0.025874160248508405,0.9705055000415189,0.03985707452326412,AGN,0.999917838,9.94950109E-5,0.992414278,0.0149863176,0.974735772,0.0182905468,0.994318979,0.00324084406,0.999907354,1.72136311E-4,0.960153827,0.0699606734,0.969487221,0.0232317603,0.956387336,0.0503432967,AGN,-0.24862213833909783,0.28043781331306594,0.17499942738704988,0.5387077487875624,0.5391851152752721,0.219871920727123,-0.3341336712912334,0.19834144786785768
3FGL J0002.2-4152,0.9999878685566801,1.3788940275449531E-5,0.9989469441979559,0.0020529694623059817,0.9966439131707155,0.004711653459963295,0.9999952534954235,8.009672853931713E-6,AGN,0.999943645,4.48913914E-5,0.994789231,0.0157425468,0.997272189,0.00280871376,0.999997252,1.95373453E-6,0.999964258,3.14732662E-5,0.981715194,0.0540349521,0.996206727,0.00612081291,0.999982396,1.84306905E-5,AGN,0.05659917841811245,0.6976133326886079,0.6871257044519513,0.3186701570021154,0.31890007353140554,0.6398068854378962,0.07142616138475161,0.7501781521518142
3FGL J0003.2-5246,0.9999059248856891,1.0594863034598138E-4,0.9983277935403352,0.0025869854752317615,0.9932184049414966,0.006217633620075495,0.9950397699856167,0.0036945514732050254,AGN,0.999860087,9.91212513E-5,0.994092784,0.0147751151,0.993922316,0.00738573245,0.998517654,6.78914709E-4,0.999789832,2.31037433E-4,0.973859348,0.06217831,0.99342418,0.00894272868,0.990014783,0.00567973947,AGN,-0.01889265403412093,0.8847213876901132,0.45674930271765185,0.39318043411441556,0.39352059488807634,0.7416266207051477,-0.023010321107426013,0.5024851781877018
3FGL J0003.8-1151,0.9848524373105874,0.027014268707567592,0.9971957373781827,0.005651772874431545,0.9055043522468755,0.05715985572154742,0.9531667166883544,0.02888301960041531,AGN,0.999756189,2.34030117E-4,0.992608025,0.0164967846,0.988115527,0.00883035442,0.991945999,0.00255352907,0.999147025,8.18976117E-4,0.962027418,0.0851847456,0.962619377,0.0280969878,0.952155488,0.0256532822,AGN,-0.8967357163060041,0.035011183122273276,-0.528906534269789,0.4119419391515269,0.4128476187898911,0.02617691390457359,-0.9992156913649092,-0.5291495336835907
3FGL J0004.7-4740,0.999753154210948,3.507426998575728E-4,0.9932030054114462,0.013819583198165241,0.9514465931323269,0.027355732555465043,0.961679974880096,0.020398131645758825,AGN,0.995128949,0.00837053147,0.993337193,0.0146112233,0.938789594,0.0359010075,0.987011255,0.00401139174,0.998449137,0.00343878547,0.963373981,0.0716871621,0.936322547,0.0364514781,0.917257592,0.0369543257,AGN,0.3318523507373861,1.2020888499149651,0.37725141989345423,0.40857728590209547,0.4160999478516976,1.0524072574007581,0.4149089946595879,0.3792086544287893
3FGL J0006.4+3825,0.9994282191903833,5.283327334013464E-4,0.9764060186429858,0.05390335796888804,0.9787349157934068,0.014159251548908992,0.8775400442350657,0.06514948254830408,AGN,0.999882201,2.47990052E-4,0.988542671,0.0182679007,0.990734239,0.00962892335,0.974067887,0.00612638201,0.999436557,6.38681683E-4,0.926649322,0.0771496408,0.982481543,0.0150437706,0.783780108,0.0733871058,AGN,-0.1813545946114492,1.277607765192257,-0.010059071039661228,0.5286795963412094,0.6449375023271108,0.9554355583771849,-0.24904841387259952,-0.013054718553329668
3FGL J0007.0+7302,0.00384342399671612,0.00858177370613199,0.0025672274906398036,0.00821711491385393,0.028588139119992223,0.0316249029676585,2.9289607261368503E-5,3.751135145282374E-5,PSR,0.00456734237,0.0263462804,0.0489569044,0.131229815,0.115694619,0.0569740783,2.28090269E-4,1.42825688E-4,0.00745347208,0.0491078307,0.0197884798,0.0615286448,0.0240804534,0.0241330603,4.26698922E-5,4.52296476E-5,PSR,0.11331213076988148,-0.295829962173561,-0.07241525311742131,-0.2774269159856835,-0.2798899986394662,-0.2277079717062742,0.14253595416884124,-0.07351267673250897
3FGL J0008.0+4713,0.709497433654397,0.17720587799089285,0.17597019896345045,0.22603338414898216,0.8530844716440829,0.05214713188753134,0.23254500425533597,0.06674687241414543,AGN,0.980102428,0.0244952586,0.698322489,0.208764706,0.969818526,0.0184922366,0.729047349,0.0475571515,0.896894175,0.0942184482,0.253402166,0.21144612,0.908533157,0.0513254167,0.253043512,0.0617560793,MIXED,-0.7578223533642502,-0.3071081386027591,-0.9337325175303598,-0.25017060872069424,-0.3425687197848301,-0.22542228371286482,-1.0633122733481581,-1.0575086078986269
3FGL J0008.6-2340,0.99786144575497,0.0023389318695065096,0.9985525894171194,0.0023748559188576006,0.9291048540391699,0.03513174838963399,0.9993448706340192,8.439451183443448E-4,AGN,0.999587381,7.22226059E-4,0.994930843,0.0111652589,0.980032293,0.0126394241,0.999912601,6.85223318E-5,0.998215418,0.00256509254,0.985741908,0.0296408373,0.945603511,0.0338976216,0.999111662,0.00107746744,AGN,-0.3379560959726255,0.21644146761336083,-0.1019694893029533,0.430816438692859,0.4321970154709326,0.17039424916775392,-0.4696224274934803,-0.13799589664315834
3FGL J0009.1+0630,0.999825491533945,1.824764113448261E-4,0.9985701515347318,0.0022143301056556635,0.9835872425261261,0.014419445681838021,0.9997261936916022,2.3614772072171102E-4,AGN,0.999936957,4.02024846E-5,0.993620873,0.0158804349,0.99640783,0.00537847911,0.99995982,2.62864385E-5,0.999906938,8.42730601E-5,0.973745884,0.0776665532,0.993249874,0.00773579902,0.99953121,3.42173077E-4,AGN,-0.5905003146532181,0.5698393728452279,-0.4052133730719175,0.3194964023875559,0.3196262292058543,0.4689925105380213,-0.6701111601012834,-0.4463396964833079
3FGL J0009.3+5030,0.9998049716506844,2.187437211796913E-4,0.978728425159739,0.03134730917040457,0.9835693939649074,0.013471771953193946,0.9570173684087093,0.019115337987573616,AGN,0.999941266,5.04269077E-5,0.990171902,0.0143691985,0.996467108,0.00430217856,0.990663236,0.00227125956,0.999808042,1.64836152E-4,0.945125419,0.0772445775,0.994462589,0.00760536358,0.961853589,0.0140795361,AGN,-0.704135973261223,-0.2530020967682879,-0.011209852977701785,0.403092898468897,0.4350209069334219,-0.2037085467043791,-0.8085940790075471,-0.014036285471472697
3FGL J0009.6-3211,0.9970851168657878,0.004532798349841908,0.9974239413408207,0.0040417228887055685,0.9570932120497223,0.025079383847849402,0.9736974388893214,0.013463893247508681,AGN,0.999271335,0.00162655963,0.993990522,0.0213858485,0.971984506,0.0221101229,0.995857882,0.00148875879,0.998123021,0.00334172686,0.975510242,0.0466168304,0.93279821,0.0437614216,0.950529514,0.0221475066,AGN,0.4816761960511282,1.0460737322602898,-0.18430445965757752,0.46832436688003076,0.47008128079039574,0.8938628002404616,0.5551693971870957,-0.22897646312645478
