spec_ind,signif_curv,var,hr45,class_4fgl,source_name,pro_agn,pro_psr
0.0,1.0,2.0,3.0,4,5,6.0,7.0
2.4333627,0.8235445422359445,3.867632923682284,-0.932233611675554,PSR,3FGL J1151.8-6108,0.5972928178810021,0.4027071821189979
2.368808,0.3841058138343895,4.006981414277414,-0.9639237828129406,PSR,3FGL J1417.5-4402,0.9221376522218947,0.07786234777810536
2.2550774,-0.6673139504284745,4.029878927317152,-0.8019788167563282,PSR,3FGL J1553.1+5437,0.9999725339930421,2.746600695788526E-5
2.6649535,-0.8153665672857328,3.6816623987078168,-0.7955605752366117,PSR,3FGL J1719.2-2433,0.9937499999068669,0.006250000093133146
2.086256,1.9800005543256032,3.871690682665771,-0.9999771816775467,PSR,3FGL J0002.6+6218,0.26770743501909916,0.7322925649809008
2.0204341,1.8251888616763319,3.515441808264368,-0.999988362289768,PSR,3FGL J0359.5+5413,0.19035952863057143,0.8096404713694285
2.2817585,1.4368438339407559,4.0732542161718985,0.99282432214382,PSR,3FGL J0514.6-4406,0.9025081620930488,0.09749183790695126
2.5418246,2.220550836837008,3.575437566399782,-0.9999547563714714,PSR,3FGL J1056.7-5853,0.32865752816785543,0.6713424718321446
2.5581317,2.150100474515493,3.7633902736851685,-0.9841617898796063,PSR,3FGL J1104.9-6036,0.37035943289093964,0.6296405671090604
2.3879848,1.7572167292764778,4.1657371964182675,-0.9266376299454638,PSR,3FGL J1208.4-6239,0.31428468688488687,0.685715313115113
2.1646054,1.8208090317967216,4.064596407721215,-0.9999935569892606,PSR,3FGL J1350.4-6224,0.3833806338458504,0.6166193661541497
2.284116,1.8431790939689239,4.230030746198678,-0.9999732615184538,PSR,3FGL J1528.3-5836,0.37772478526104764,0.6222752147389523
2.1264415,2.0157864968288015,3.995425993338665,-0.7500811057255069,PSR,3FGL J1622.9-5004,0.49142656910014326,0.5085734308998567
2.0572636,1.9904773956408415,3.9278058583637927,-0.9592020022608071,PSR,3FGL J1624.2-4041,0.08695860966036366,0.9130413903396364
2.4938385,1.937004367185144,4.00835375518284,-0.8783023622113785,PSR,3FGL J1650.3-4600,0.1613521039916906,0.8386478960083095
2.4792907,1.3827083892011565,3.688897453951938,-0.928155068987998,PSR,3FGL J1827.3-1446,0.18213155933770092,0.8178684406622991
2.2825232,1.7458009895531237,3.801825923528608,-0.8892539053494454,PSR,3FGL J1844.3-0344,0.14604607244944115,0.8539539275505589
1.8963063,1.9256608954650285,3.6809872675779696,-0.9059312038438698,PSR,3FGL J1946.4-5403,0.012514280720741103,0.9874857192792589
2.614499,2.5318159191992655,3.6853580111050794,-0.9814898107795468,PSR,3FGL J2017.9+3627,0.2707090845048997,0.7292909154951002
1.8367444,1.677781559887395,4.078730342288933,-0.999935775431332,PSR,3FGL J2310.1-0557,0.02514915746304838,0.9748508425369515
2.410956,1.2227793474596678,3.707542142711125,-0.3411646902546724,AGN,3FGL J0000.1+6545,0.8471311158426089,0.15286888415739103
1.8667319,0.40310004688774054,3.803219190636362,-0.6481892737318573,AGN,3FGL J0000.2-3738,1.0,0.0
1.9460614,0.3138621879170869,3.8313551023606913,-0.49795186771472183,AGN,3FGL J0002.0-6722,1.0,0.0
2.0504425,-0.23529942296034895,3.8140060375761227,-0.8706377580490783,AGN,3FGL J0004.2+0843,0.985526996009404,0.014473003990596029
2.1869004,-1.7786281042231946,3.8191673986930605,-0.3951725265506454,AGN,3FGL J0006.2+0135,1.0,0.0
2.2756045,-0.020848936486780684,3.793004914905388,-0.5895593077013017,AGN,3FGL J0007.9+4006,0.9965811823230877,0.003418817676912326
2.2695491,0.4497952458916993,3.5392097654663734,-0.6761528719520202,AGN,3FGL J0008.3+1456,0.8522588925167138,0.14774110748328617
2.504053,0.061235917290220446,3.9960422270490206,-0.7306166513081951,AGN,3FGL J0014.3-0455,1.0,0.0
1.6399021,0.43271269786526106,3.9966331434162568,-0.47608342748093824,AGN,3FGL J0020.9+0323,1.0,0.0
2.784271,-1.6638638980526095,3.641846414047368,-0.9999917679566133,AGN,3FGL J0022.7+4651,0.9749999045386968,0.025000095461303246
2.1874866,-0.39339708056426326,3.942383311622283,-0.5462664480616305,AGN,3FGL J0026.2-4812,1.0,0.0
2.1391132,0.5911794584191239,3.5117344358953235,-0.9991398106993409,AGN,3FGL J0031.2-2320,0.9131622385971963,0.08683776140280376
2.2745852,0.31779642423059534,6.235901809578529,-0.6243560767805013,AGN,3FGL J0032.3-5522,1.0,0.0
1.7653672,-0.4755638587112215,3.572518094896527,-0.2857654268078691,AGN,3FGL J0049.0+4224,1.0,0.0
2.0650234,-0.7310816812392441,3.7314903755498383,-0.29987821906091255,AGN,3FGL J0102.1+0943,1.0,0.0
2.1721509,-3.0862578836884484,3.678476783470549,-0.4059362319461393,AGN,3FGL J0112.9-7506,1.0,0.0
2.759096,0.6454817186757151,3.9244713028722398,-0.9997503281674898,AGN,3FGL J0116.8+6913,0.9874938964814646,0.012506103518535384
2.5585058,0.34558154913681804,3.789087732261582,-0.2902053765254937,AGN,3FGL J0158.6+0102,0.9894772239840974,0.010522776015902508
1.8781707,-0.6872598648626577,3.846288548110567,-0.6231220575817921,AGN,3FGL J0200.3-4108,1.0,0.0
2.0137677,-0.839875302520031,3.6270176141336483,-0.6005503627197641,AGN,3FGL J0216.0+0300,1.0,0.0
2.24003,0.1510124177730103,3.9011666276383896,-0.3864808989040241,AGN,3FGL J0216.4+0507,1.0,0.0
