flux_density,unc_energy,spec:_ind,signif_curv,variability,hr12,hr23,hr34,hr45,glat,class,name,pro_agn_nn,pro_psr_nn,pro_agn_lr,pro_psr_lr,pro_agn_rf,pro_psr_rf,pro_agn_bdt,pro_psr_bdt,pro_total_agn,pro_total_psr
1.2064193E-12,2.2470864E-12,2.4333627,0.8235445422359445,3.867632923682284,-0.4257508117371484,-0.06099802049235512,-0.848115060638613,-0.932233611675554,0.8997268,PSR,3FGL J1151.8-6108,0.7816431836637446,0.21835681633625603,0.892238779544012,0.10776122045598736,0.6474177849113819,0.35258221508861753,0.0028829757113209686,0.9971170242886561,2.3241827238304595,1.675817276169517
1.2447304E-12,1.2491999E-12,2.368808,0.3841058138343895,4.006981414277414,-0.6427328754831881,-0.5944759155051361,-0.5776117467212585,-0.9639237828129406,16.150196,PSR,3FGL J1417.5-4402,0.9728806123833907,0.027119387616609418,0.9633023983826866,0.0366976016173149,0.9304511282252559,0.06954887177474257,0.9969397204691635,0.003060279530848785,3.8635738594604963,0.13642614053951566
3.0450455E-13,6.4330046E-13,2.2550774,-0.6673139504284745,4.029878927317152,-0.4697215492388143,-0.5614494061739052,-0.6277301043622496,-0.8019788167563282,47.169643,PSR,3FGL J1553.1+5437,0.9853412271439654,0.014658772856035167,0.9965239748163308,0.003476025183669576,0.988140625920145,0.011859374079863282,0.9996762787715402,3.237212284473104E-4,3.969682106651981,0.030317893348015334
7.8162355E-12,2.0336961E-12,2.6649535,-0.8153665672857328,3.6816623987078168,-0.8025486513209279,-0.8570475265347762,-0.3052890425976636,-0.7955605752366117,7.3175187,PSR,3FGL J1719.2-2433,0.9852212109378992,0.014778789062100527,0.9977077523732057,0.002292247626794921,0.9967152277716821,0.003284772228320495,0.9997286070721139,2.713929279120671E-4,3.979372798154901,0.02062720184512801
4.303313E-12,1.7174584E-12,2.086256,1.9800005543256032,3.871690682665771,-0.14028305539984506,-0.5300255879083027,-0.7440944936430428,-0.9999771816775467,-0.03711618,PSR,3FGL J0002.6+6218,0.09560483283147427,0.9043951671685256,0.32396013002635377,0.6760398699736456,0.16122922045289836,0.8387707795471033,7.4927681004144375E-6,0.999992507231916,0.5808016760788268,3.41919832392119
8.257421E-12,1.943822E-12,2.0204341,1.8251888616763319,3.515441808264368,-0.3449328463347164,-0.5753830884198017,-0.6885031981532694,-0.999988362289768,0.87194085,PSR,3FGL J0359.5+5413,0.09888951714393289,0.9011104828560675,0.3232929585000294,0.6767070414999687,0.16673868816742748,0.8332613118325752,2.1606205398039258E-5,0.9999783937945782,0.5889427700167879,3.41105722998319
4.665858E-12,8.150811E-13,2.2817585,1.4368438339407559,4.0732542161718985,-0.3811267602277588,-0.7169768315834403,-0.99998705434372,0.99282432214382,-35.392704,PSR,3FGL J0514.6-4406,0.9751115054044628,0.02488849459553792,0.9164618256512883,0.08353817434871141,0.9020358969095683,0.0979641030904233,0.9987415027087826,0.0012584972911930904,3.792350730674102,0.20764926932586575
6.974282E-12,2.563743E-12,2.5418246,2.220550836837008,3.575437566399782,-0.19831457857425827,-0.6811810706968752,-0.8717867594209209,-0.9999547563714714,0.74054885,PSR,3FGL J1056.7-5853,0.08036364335276884,0.9196363566472308,0.20055091123424099,0.7994490887657583,0.3933099415486248,0.6066900584513761,1.1166186082578466E-4,0.9998883381391634,0.6743361579964604,3.3256638420035287
1.6918939E-12,4.623608E-12,2.5581317,2.150100474515493,3.7633902736851685,0.9999199388834346,-0.4402749143276816,-0.689123385274944,-0.9841617898796063,-0.3890897,PSR,3FGL J1104.9-6036,0.0919599178053846,0.9080400821946152,0.2646836210883113,0.7353163789116892,0.40558609383110167,0.5944139061688992,1.56635459543919E-5,0.9999843364540546,0.7622452962707519,3.2377547037292587
1.4728264E-12,4.9140206E-12,2.3879848,1.7572167292764778,4.1657371964182675,0.8108492463021626,-0.35549866525889007,-0.6584084037068938,-0.9266376299454638,-0.19969934,PSR,3FGL J1208.4-6239,0.22104280678230978,0.7789571932176897,0.5624129516158869,0.43758704838411216,0.35732056780300236,0.6426794321969974,0.001771121054330242,0.9982288789456953,1.1425474472555295,2.857452552744495
9.695783E-13,3.2484206E-12,2.1646054,1.8208090317967216,4.064596407721215,0.9992772719244135,-0.2672135225086611,-0.5666631178297894,-0.9999935569892606,-0.31989783,PSR,3FGL J1350.4-6224,0.14882280173779905,0.8511771982621996,0.4634884382282896,0.5365115617717102,0.45582062019117087,0.5441793798088287,1.277464375823989E-4,0.9998722535624365,1.068259606594842,2.9317403934051747
9.511693E-13,1.2924469E-12,2.284116,1.8431790939689239,4.230030746198678,-0.35696757752887126,-0.040861278436219964,-0.7030139599081877,-0.9999732615184538,-1.7236029,PSR,3FGL J1528.3-5836,0.16410831927801478,0.8358916807219845,0.5252495810305351,0.4747504189694651,0.3601714562277095,0.63982854377229,0.003968196999913687,0.9960318030000732,1.053497553536173,2.946502446463813
1.5989135E-12,5.4432565E-12,2.1264415,2.0157864968288015,3.995425993338665,0.9998459635579632,-0.3031181038421276,-0.535430206115531,-0.7500811057255069,-0.28015098,PSR,3FGL J1622.9-5004,0.13951134984329286,0.8604886501567087,0.38810844714005993,0.6118915528599401,0.6779054775924401,0.32209452240756065,0.007068466823692062,0.9929315331762888,1.212593741399485,2.787406258600498
3.762739E-12,2.3931133E-12,2.0572636,1.9904773956408415,3.9278058583637927,0.022930354563999344,-0.5115191438465421,-0.6587548394868892,-0.9592020022608071,6.142062,PSR,3FGL J1624.2-4041,0.12602239789468414,0.8739776021053163,0.33882837039510816,0.6611716296048925,0.0862156373768811,0.9137843626231162,4.9503796673455724E-5,0.9999504962033534,0.5511159094633469,3.448884090536678
1.2440511E-12,6.438624E-12,2.4938385,1.937004367185144,4.00835375518284,0.25702724924614895,-0.5269743032385414,-0.6855408788155662,-0.8783023622113785,-0.9521964,PSR,3FGL J1650.3-4600,0.15387930429915603,0.8461206957008458,0.45360118204170774,0.5463988179582914,0.2337711395788022,0.7662288604211972,0.0012426741248615864,0.9987573258751177,0.8424943000445275,3.1575056999554523
9.857436E-13,2.8437322E-12,2.4792907,1.3827083892011565,3.688897453951938,0.7330155760084319,-0.2434268124148264,-0.488805341759877,-0.928155068987998,-1.4837972,PSR,3FGL J1827.3-1446,0.402687420221439,0.597312579778561,0.6808866694681917,0.3191133305318077,0.29738607751500784,0.7026139224849935,8.706822612800647E-4,0.9991293177387205,1.3818308494659186,2.618169150534083
8.0176355E-13,4.7395013E-12,2.2825232,1.7458009895531237,3.801825923528608,0.9989563279440085,0.1946337841769077,-0.5429667496756878,-0.8892539053494454,-0.14492497,PSR,3FGL J1844.3-0344,0.1830230963325713,0.8169769036674301,0.48852222883986995,0.5114777711601302,0.365015118202827,0.634984881797173,0.0024418455616315627,0.9975581544383659,1.0390022889368997,2.9609977110630994
3.5945912E-12,9.232615E-13,1.8963063,1.9256608954650285,3.6809872675779696,0.15306817471553333,-0.526869561123767,-0.7731796697724636,-0.9059312038438698,-29.562988,PSR,3FGL J1946.4-5403,0.20271707444721024,0.7972829255527893,0.3039671828089812,0.6960328171910175,0.10323858005333124,0.8967614199466645,2.651104123574388E-4,0.9997348895876493,0.6101879477218801,3.389812052278121
