Source_Name_3FGL,Flux_Density_log,Unc_Energy_Flux100_log,Spec_index,signif_curv_log,variability_index__log,hr12,hr23,hr34,hr45,GLAT_3FGL,Category_3FGL,Class_3FGL,Pivot_Energy,Spectrum Type,Assoc1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,TimesinTraining,GLON_3FGL,Flags_3FGL,Category_Prob
3FGL J2339.0+2122,-29.1440179,-27.7522031,2.1791162,-0.028274688,3.60132207,-0.684285182,-0.588050521,-0.556709418,-0.382047559,-38.42126,AGN,bll,1579.0627,PowerLaw,RX J2338.8+2124,0.999908349,9.17e-05,0.989635936,0.010364064,0.995621844,0.004378156,0.995322732,0.004677268,310,101.25744,0,AGN
3FGL J2340.7+8016,-28.1958303,-27.1408159,1.9157082,0.887735072,3.91472814,-0.195375116,-0.519439994,-0.393431437,-0.509769884,17.82508,AGN,bll,2059.736,PowerLaw,1RXS J234051.4+801513,0.996325774,0.003674226,0.959373946,0.040626054,0.947272954,0.052727046,0.943638348,0.056361652,304,119.84524,0,AGN
3FGL J2343.6+1551,-26.9169531,-27.8287949,2.6648674,0.812467523,4.01924483,-0.647291121,-0.90300885,-0.50920261,-0.669614375,-43.971653,AGN,fsrq,521.2661,PowerLaw,MG1 J234342+1542,0.999947522,5.25e-05,0.979403645,0.020596355,0.98091262,0.01908738,0.977288171,0.022711829,313,100.00187,0,AGN
3FGL J2343.7+3437,-32.0683276,-27.736688,1.7543932,-0.016444676,3.93970957,-0.999992959,0.999832621,-0.22197215,-0.292464705,-26.198704,AGN,bll,5453.376,PowerLaw,1RXS J234332.5+343957,0.999920027,8e-05,0.98828293,0.01171707,0.999259457,0.000741,0.998601431,0.001398569,327,107.45392,0,AGN
3FGL J2344.4+0549,-29.5385512,-27.717099,2.1931376,0.576367716,3.57267334,-0.600067661,-0.059372671,-0.593743224,-0.99857648,-53.26987,AGN,bcu,1633.948,PowerLaw,1RXS J234354.4+054713,0.974725693,0.025274307,0.943382092,0.056617908,0.850124472,0.149875528,0.838702092,0.161297908,295,94.27425,0,AGN
3FGL J2346.7+0705,-30.4248333,-27.1929437,1.778724,-1.05929918,3.99057352,0.98016432,-0.715665404,-0.140357723,-0.37962534,-52.368374,AGN,bcu,4089.9338,PowerLaw,TXS 2344+068,0.999906474,9.35e-05,0.991900817,0.008099183,0.999958116,4.19e-05,0.998617716,0.001382284,289,96.00115,0,AGN
3FGL J2347.0+5142,-28.920431,-26.9135736,1.7824879,-1.12082836,4.61481423,-0.379382925,-0.391212087,-0.467519832,-0.366996468,-9.904081,AGN,bll,2996.8901,PowerLaw,1ES 2344+514,0.999937487,6.25e-05,0.986542242,0.013457758,0.999967599,3.24e-05,0.996057057,0.003942943,260,112.88901,0,AGN
3FGL J2347.9+5436,-33.4142361,-27.6999589,1.7333778,-3.70993624,3.60123598,0.993158729,-0.384591322,-0.78398956,-0.066404806,-7.1294775,AGN,bcu,10313.102,PowerLaw,NVSS J234753+543627,0.997797497,0.002202503,0.988930944,0.011069056,0.999999328,6.72e-07,0.978470109,0.021529891,269,113.74405,0,AGN
3FGL J2348.0-1630,-27.1474096,-27.0898023,2.2028456,0.782224613,5.85068524,-0.358555681,-0.664926345,-0.471343474,-0.706029226,-71.879715,AGN,fsrq,1341.0238,PowerLaw,PKS 2345-16,0.999952884,4.71e-05,0.990150247,0.009849753,0.999575165,0.000425,0.993359513,0.006640487,320,65.5796,0,AGN
3FGL J2348.4-5100,-28.607449,-27.9551069,2.3056912,0.702254582,4.12125893,-0.581131068,-0.526380437,-0.754709854,-0.999920584,-63.297142,AGN,bcu,1052.935,PowerLaw,SUMSS J234852-510311,0.988642188,0.011357812,0.962717968,0.037282032,0.917018022,0.082981978,0.852432823,0.147567177,309,325.28427,0,AGN
3FGL J2350.4-3004,-29.7936151,-27.7612594,2.0805116,-0.875893716,4.24592222,-0.727978087,-0.417467549,-0.679769367,-0.324422227,-76.29966,AGN,bll,2128.9412,PowerLaw,NVSS J235034-300603,0.999874889,0.000125,0.991372699,0.008627301,0.999915245,8.48e-05,0.995435025,0.004564975,328,16.93987,0,AGN
3FGL J2352.0+1752,-29.8640372,-27.7404525,2.0136497,0.333361833,4.03182879,-0.845453995,-0.077846628,-0.456684037,-0.71972073,-42.74439,AGN,bll,2176.089,PowerLaw,CLASS J2352+1749,0.999887218,0.000113,0.985399465,0.014600535,0.988968263,0.011031737,0.997135693,0.002864307,289,103.5419,0,AGN
3FGL J2353.3-4805,-30.8502114,-28.031407,2.010483,0.825116228,3.35438519,-0.878679214,0.458408757,-0.381402543,-0.659517041,-66.18382,AGN,bcu,2415.2505,PowerLaw,SUMSS J235310-480558,0.998480289,0.001519711,0.932575462,0.067424538,0.882422634,0.117577366,0.974709452,0.025290548,290,327.4511,0,AGN
3FGL J2353.6-3037,-29.1439612,-27.7407131,2.2824354,-2.25532038,4.05986208,0.96853582,-0.673605515,-0.548487161,-0.851634079,-76.880615,AGN,bll,1516.24,PowerLaw,PKS 2351-309,0.999479837,0.00052,0.99117398,0.00882602,0.999992677,7.32e-06,0.963193765,0.036806235,320,14.083122,0,AGN
3FGL J2353.7-3911,-29.2203594,-28.0930965,2.2809358,-0.960183269,3.81323963,-0.733438328,-0.423400955,-0.517844096,-0.999921269,-72.97784,AGN,bcu,1183.2081,PowerLaw,NVSS J235342-391442,0.989187643,0.010812357,0.990713319,0.009286681,0.99927621,0.000724,0.862086131,0.137913869,304,344.17645,0,AGN
3FGL J2354.1+4605,-27.1811755,-27.817061,2.479054,0.837773014,3.9412871,-0.480839249,-0.629576942,-0.939078051,-0.999944964,-15.635946,AGN,fsrq,651.0978,PowerLaw,4C +45.51,0.975086758,0.024913242,0.831909921,0.168090079,0.765393126,0.234606874,0.680601694,0.319398306,312,112.671906,0,AGN
3FGL J2355.5+8154,-25.3275215,-27.792419,2.86911,0.40737861,3.73533275,-0.795022273,-0.746641076,-0.778736204,-0.805163163,19.253418,AGN,fsrq,325.6229,PowerLaw,S5 2353+81,0.998918985,0.001081015,0.971580743,0.028419257,0.970218852,0.029781148,0.954361116,0.045638884,302,120.86755,1,AGN
3FGL J2356.0+4037,-31.8277256,-27.5349825,1.7224538,-1.36590148,3.77684683,-0.338386577,-0.858261545,0.270786697,-0.370305321,-21.031487,AGN,bll,5960.4106,PowerLaw,NVSS J235612+403648,0.999777345,0.000223,0.99145299,0.00854701,0.999980242,1.98e-05,0.998891288,0.001108712,309,111.71871,0,AGN
3FGL J2357.3-0150,-30.0844267,-27.9033704,2.1233728,-0.109278961,3.58774104,-0.049028716,-0.773460246,-0.354462582,-0.606840283,-61.59291,AGN,bll,1919.674,PowerLaw,PKS 2354-021,0.999885598,0.000114,0.989205129,0.010794871,0.996279718,0.003720282,0.99709076,0.00290924,268,93.53964,0,AGN
3FGL J2357.4-1716,-31.2139716,-27.633927,1.8025085,-1.02980059,3.78593438,-0.68363243,-0.377391242,-0.376902788,-0.342378241,-74.10297,AGN,bll,3977.7612,PowerLaw,RBS 2066,0.999881509,0.000118,0.991651316,0.008348684,0.999864582,0.000135,0.999107086,0.000893,293,68.463806,0,AGN
3FGL J2357.8-5310,-26.9943305,-27.4830757,2.4554737,1.11363849,5.10112411,-0.228520215,-0.762778455,-0.781720742,-0.779942363,-62.11323,AGN,fsrq,838.0266,PowerLaw,PKS 2355-534,0.999921527,7.85e-05,0.982702405,0.017297595,0.987840918,0.012159082,0.969915349,0.030084651,319,320.21732,0,AGN
3FGL J2358.0-4552,-27.0053971,-27.9416728,2.6171062,-1.47589107,4.25605672,-0.716669418,-0.829982895,-0.650259954,-0.084055379,-68.46684,AGN,fsrq,586.8715,PowerLaw,PKS 2355-461,0.999975886,2.41e-05,0.992075778,0.007924222,0.999997394,2.61e-06,0.996134394,0.003865606,311,328.91592,0,AGN
3FGL J2358.2-1022,-25.7369156,-27.856711,2.7962751,1.15657989,4.22848217,-0.68399202,-0.88182269,-0.990783452,0.73442105,-69.06989,AGN,fsrq,368.7887,PowerLaw,PKS 2355-106,0.999863527,0.000136,0.988911667,0.011088333,0.998325719,0.001674281,0.964411201,0.035588799,300,83.5948,0,AGN
3FGL J2358.9+3926,-30.2268617,-27.6841766,2.2084725,-2.69220678,3.96751139,-0.564730124,-0.526131081,-0.982437272,0.893408851,-22.30802,AGN,fsrq,2167.5835,PowerLaw,B2 2356+39,0.999515802,0.000484,0.991765804,0.008234196,0.999999908,9.2e-08,0.980608998,0.019391002,305,112.00808,0,AGN
3FGL J2359.3-3038,-29.7513466,-27.713637,2.0215902,-0.528677016,3.7127674,-0.724770754,-0.475379905,-0.550384221,-0.389311823,-78.06986,AGN,bll,2239.888,PowerLaw,H 2356-309,0.99990353,9.65e-05,0.990190706,0.009809294,0.999091501,0.000908,0.998616918,0.001383082,289,12.7065735,0,AGN
3FGL J2359.5-2052,-30.4345103,-27.9189423,2.0176828,-2.00063376,3.59161036,-0.780671087,-0.476813835,-0.542308967,-0.040143412,-76.61198,AGN,bll,2371.264,PowerLaw,TXS 2356-210,0.999895004,0.000105,0.99171059,0.00828941,0.999993651,6.35e-06,0.998117462,0.001882538,288,57.947227,0,AGN
3FGL J0001.4+2120,-24.4033437,-27.8078815,2.3051133,1.48468604,4.87011826,-0.614417901,-0.821568611,-0.999952801,0.103439906,-40.047157,AGN,fsrq,310.68167,LogParabola,TXS 2358+209,0.999867143,0.000133,0.97723853,0.02276147,0.988838443,0.011161557,0.977313498,0.022686502,327,107.66543,0,AGN
3FGL J0051.0-0649,-26.1796451,-27.5013437,2.104655,1.42850684,5.59134483,-0.434592479,-0.640862385,-0.65984721,-0.887777809,-69.68921,AGN,fsrq,724.93756,LogParabola,PKS 0048-071,0.994708502,0.005291498,0.974308596,0.025691404,0.982983043,0.017016957,0.874042016,0.125957984,316,122.66506,0,AGN
3FGL J0102.8+5825,-24.0736719,-26.9773518,2.0943375,1.6581496,7.30832831,-0.465251058,-0.619645374,-0.681723312,-0.690411446,-4.4141917,AGN,fsrq,518.0679,LogParabola,TXS 0059+581,0.999357334,0.000643,0.949778234,0.050221766,0.999551118,0.000449,0.970425213,0.029574787,290,124.425934,0,AGN
3FGL J0108.7+0134,-23.0508992,-27.1009749,2.2600846,1.52689061,6.35536259,-0.582043109,-0.709799746,-0.668664742,-0.817793363,-60.99247,AGN,fsrq,352.5838,LogParabola,4C +01.02,0.998791641,0.001208359,0.984053839,0.015946161,0.997462867,0.002537133,0.981587774,0.018412226,303,131.86766,0,AGN
3FGL J0109.8+6132,-22.9352422,-27.0705617,2.3087792,1.7370081,7.14131733,-0.621317541,-0.726534019,-0.847163478,-0.771482681,-1.2436273,AGN,fsrq,320.5173,LogParabola,TXS 0106+612,0.996830915,0.003169085,0.934887716,0.065112284,0.99869152,0.00130848,0.960082811,0.039917189,309,125.1266,0,AGN
3FGL J0112.1+2245,-24.4292428,-26.6372229,1.9072558,1.5152963,6.19250297,-0.384521831,-0.52786749,-0.532239086,-0.615812538,-39.86327,AGN,BLL,619.8017,LogParabola,S2 0109+22,0.999841619,0.000158,0.985689701,0.014310299,0.997358091,0.002641909,0.980211148,0.019788852,315,129.14394,0,AGN
