flux,unc,signif_curv,Spectral_Index,var,CLASS
-23.05089918,-27.1009749,1.526890607,2.2600846,6.355362564,AGN
-29.89405124,-27.72023814,-0.570336424,2.0398386,3.706963693,AGN
-22.93524214,-27.07056174,1.737008119,2.3087792,7.141317318,AGN
-31.96423306,-27.77855602,-1.997083062,1.7273983,3.686542321,AGN
-29.26560924,-27.11994876,-1.069781158,1.9908619,3.596701514,AGN
-31.2835491,-27.82434144,-0.900733654,1.9252412,3.472926561,AGN
-31.63751172,-27.87938868,-0.244153098,1.9169142,3.841665585,AGN
-24.42924281,-26.63722291,1.515296302,1.9072558,6.19250296,AGN
-24.77092485,-27.36393378,0.72276116,2.3626,6.862197969,AGN
-27.20744448,-28.02243698,-0.812740796,2.5028229,4.425887069,AGN
-27.7858047,-27.55020562,0.02213452,2.2991004,3.862756192,AGN
-28.04367869,-27.43489958,-1.794968392,2.0772939,4.61647974,AGN
-27.91052039,-27.47173188,0.0768125,2.118065,4.011092396,AGN
-29.0153774,-27.38251197,0.53267469,1.9868995,4.212627961,AGN
-26.34422646,-27.61333732,0.841212138,2.343904,6.170051225,AGN
-30.78159336,-27.94279525,0.033892293,2.0224857,3.698803667,AGN
-30.47314448,-27.89649187,-0.049005915,1.9620963,3.965613308,AGN
-28.54060793,-27.2437386,0.700525177,2.3226357,4.276468477,AGN
-26.52404495,-27.0193512,1.749848806,2.3479936,5.685422721,AGN
-31.57009644,-27.78388539,-0.102963403,1.7863274,3.670516249,AGN
-27.20678739,-26.84888788,0.938560032,1.9141285,4.294515893,AGN
-30.86662223,-27.5914038,-0.827480594,1.9840935,3.652165347,AGN
-32.8548641,-27.47122572,-1.036689465,1.4847492,3.670678451,AGN
-29.81277247,-27.61864038,0.230730833,1.9883285,3.945923937,AGN
-28.97947922,-27.84307692,1.079901523,2.2079077,4.081379858,AGN
-29.24105723,-27.88787522,0.630069765,2.1296008,4.360111219,AGN
-27.40755314,-27.65240338,0.702464312,2.4302502,4.691925939,AGN
-28.28843404,-27.73264791,0.738438695,2.2123487,3.922808142,AGN
-29.46020913,-27.40839491,0.472172985,1.8992667,3.903050453,AGN
-24.13506108,-27.65370592,0.4226901,3.0997996,3.959772997,AGN
-28.1417296,-27.76113272,0.176946534,2.3320422,4.492277099,AGN
-26.97077444,-27.75847126,0.805672907,2.6505406,3.816592106,AGN
-29.77581108,-27.00645678,-0.872475537,1.8618388,4.479297899,AGN
-32.0470959,-27.60440601,-1.076020103,1.9038582,3.802642631,AGN
-31.92342605,-27.71975107,0.519558963,1.7528943,3.493660986,AGN
-24.91645371,-27.54952634,0.981694547,2.4301353,5.482031335,AGN
-29.27071018,-27.98747319,-0.634788136,2.1562438,3.885376252,AGN
-27.81235624,-27.93218222,-0.326311326,2.6276467,3.87009883,AGN
-29.01642651,-27.83035959,0.48054227,2.3010225,3.960750534,AGN
-28.62278499,-28.04458633,-0.753480967,2.3311923,4.113577827,AGN
-29.35556953,-27.48248967,1.110455812,1.9910654,4.060645103,AGN
-27.67415255,-27.30863263,0.114404826,2.5568311,3.603116922,AGN
-27.95025094,-26.4513042,0.727997208,1.6956023,4.131983518,AGN
-24.22361967,-27.08463711,1.661012558,2.146481,6.753477089,AGN
-25.43546399,-27.75330223,0.990188192,2.5176365,5.135095208,AGN
-29.42826194,-27.30997643,-0.747338834,2.0572364,3.857729755,AGN
-31.85244865,-27.82765794,0.237405135,1.8912491,3.738432267,AGN
-26.72725022,-27.32074133,0.451257563,2.122884,4.589877144,AGN
-29.54904459,-27.40819785,-1.674357817,1.8384199,4.251478785,AGN
-24.61134417,-27.00148785,1.157875783,2.063248,5.139908685,AGN
-24.63862038,-27.67169508,1.117896943,2.5696132,5.74759141,AGN
-28.01544112,-27.85346928,0.232901467,2.5188813,3.549608376,AGN
-28.49844354,-27.96858939,-0.764943498,2.390704,3.719880338,AGN
-29.3278041,-27.99415875,-0.931010528,2.1995776,3.90333409,AGN
-31.40203198,-27.49665852,0.351796404,1.770252,4.097172844,AGN
-29.95982823,-27.62326831,-0.39602123,2.0207543,4.131798771,AGN
-30.75541364,-28.16467161,-1.935632528,2.1181767,3.78292921,AGN
-29.26644269,-27.82645513,-0.477824796,2.3591862,3.683465023,AGN
-28.17513269,-28.04454707,-3.112339827,2.4591627,3.521005975,AGN
-26.07852372,-27.72904983,0.55520863,2.6539824,3.950514552,AGN
-28.40513779,-27.88456501,-0.145800577,2.4064765,3.875073844,AGN
-30.28529713,-27.44854909,0.0182058,1.8866125,3.946580251,AGN
-32.12429234,-27.6936541,0.988878032,1.7702929,3.899256233,AGN
-33.69765786,-27.63449714,-2.075702152,1.5670155,3.600790122,AGN
-28.6495472,-27.0546097,1.157636375,1.8594136,4.17180438,AGN
-29.29015202,-27.82342283,-1.449660931,2.1833498,4.349786384,AGN
-26.71930838,-27.79362771,-3.090323269,2.4952416,4.789748259,AGN
-31.9387739,-28.14866139,-1.420368358,2.0091054,3.440584265,AGN
-30.24384374,-27.55139246,1.165722064,1.8227636,4.136889376,AGN
-27.00717545,-27.90273167,1.050308273,2.4493937,4.32086761,AGN
-28.66500552,-27.56548591,0.481866595,2.0226002,4.230145205,AGN
-28.83480415,-27.50267167,-0.250584121,2.1134186,4.197400178,AGN
-29.40136045,-27.84653237,0.941537996,2.0362735,4.189655898,AGN
-28.88201282,-27.94510873,-0.973765835,2.3306115,4.232483444,AGN
-30.61281465,-27.8336417,0.974096857,2.0475829,3.654969352,AGN
-28.5520698,-27.82653772,-3.105306058,2.275533,4.119304168,AGN
-28.95768961,-27.93866002,-1.385558276,2.3125584,3.856230872,AGN
-25.47221488,-27.20155333,1.485209772,2.046388,6.88163355,AGN
-28.55759208,-27.38236738,-0.105431209,2.2215748,4.043237635,AGN
-32.16672191,-27.78359684,-0.204576676,1.792368,3.62549749,AGN
-24.61350942,-27.55428395,0.468985675,2.9446244,4.283090686,AGN
-26.35014212,-27.64845703,-1.091362218,2.530061,4.673344149,AGN
-24.21310624,-27.72313335,0.868400074,2.7594676,5.818874719,AGN
-27.02332985,-27.76662393,0.071846862,2.3310568,5.570028075,AGN
-27.20156977,-27.98520765,-0.327988497,2.5441499,3.996000247,AGN
-28.34397409,-27.88570715,-0.465623758,2.420549,3.608567671,AGN
-32.52634945,-27.74514872,-0.088935813,1.6951369,3.639782117,AGN
-29.1785587,-27.08109502,-0.097625441,1.7995075,4.47860206,AGN
-30.89840047,-27.82361584,-0.645679456,1.972966,3.878342866,AGN
-23.54841891,-27.21012198,1.557359888,2.1697106,7.275368847,AGN
-24.8605949,-26.92251454,1.524941521,2.011121,6.301694302,AGN
-30.00274407,-27.94818391,0.285726381,2.0994716,3.499731212,AGN
-26.96618882,-27.26667498,-1.772961587,2.6912782,3.716715734,AGN
-29.39906853,-27.9153576,-0.785631341,2.1112816,4.027782035,AGN
-28.5316249,-27.51237009,-1.513940475,2.0985882,3.868263038,AGN
-30.82681781,-28.12315075,-0.935838637,2.0887089,3.56345048,AGN
-31.0389298,-27.69632336,0.46801512,2.041985,3.937415193,AGN
-27.71607583,-27.96912875,-0.1094068,2.5699754,3.87456357,AGN
-27.53232286,-27.89108441,-0.67807268,2.5650656,3.902409145,AGN
-28.52450919,-27.88337233,0.679827711,2.328764,4.380611812,AGN
-29.57883276,-27.69521394,-0.404266135,1.980182,4.130206952,AGN
-28.79963411,-27.89836075,0.728378894,2.329674,3.639168308,AGN
-27.71241346,-27.34567058,0.29052121,2.1001387,5.287116565,AGN
-25.4311951,-26.67853522,2.241401432,2.7263994,3.629153249,AGN
-23.51523482,-27.37209163,0.908626703,2.907354,4.731294866,AGN
-25.57843644,-27.09186619,1.042400397,2.1929219,6.063639565,AGN
-26.46764213,-27.2632355,0.943812913,2.575742,5.382472489,AGN
-31.67907032,-27.75310952,-0.413037208,1.8571669,3.921249415,AGN
-25.72045958,-27.05149089,-0.88717009,2.2818148,6.011270466,AGN
-26.06946913,-27.78973336,0.081149787,2.6010468,4.398715703,AGN
-24.5374209,-26.04164854,1.033589523,1.8797827,6.785636748,AGN
-31.59625546,-27.80164786,0.018648067,1.8222634,3.760997384,AGN
-31.50385223,-27.43253165,-1.738649919,1.9149779,4.0182985,AGN
-27.05039144,-26.88794587,1.534557195,2.77602,3.932514883,AGN
-29.38317804,-27.80476276,-1.341200536,2.2289107,4.04408104,AGN
-25.27025287,-27.85441279,0.614215204,2.6634765,5.636698834,AGN
-28.53851208,-27.62653123,0.838000557,2.1863747,4.563543205,AGN
-30.09314666,-27.71368132,0.460819287,1.9546785,3.973165861,AGN
-29.28722957,-27.65980121,0.255067925,2.0421445,3.764667335,AGN
-28.98416738,-27.58733938,0.612701728,2.1206038,4.619627701,AGN
-26.23095091,-27.79562692,-1.336773586,2.42586,5.991882932,AGN
-26.60260758,-27.21103384,0.11538878,2.6189883,3.743611306,AGN
-30.55991443,-28.07688608,-0.705102273,2.1403568,3.54884821,AGN
-25.55801841,-27.79430199,0.553936158,2.5390003,6.185280798,AGN
-33.37346955,-27.92853762,0.519534289,1.6849358,3.584325104,AGN
-25.6985819,-27.61947836,0.250897466,2.5493844,5.369732879,AGN
-30.93367507,-27.64928814,0.559326442,2.0253923,3.895143134,AGN
-30.9657981,-27.83176739,0.462003707,2.086364,3.522862845,AGN
-25.85617813,-27.58116133,0.734097417,2.3082178,7.222709909,AGN
-30.81249965,-27.66746498,-2.88912088,1.8583529,3.762727135,AGN
-22.30780264,-26.9805744,2.133892242,2.1620982,8.203430333,AGN
-30.81909506,-27.96742564,0.359439564,1.9419838,3.852002583,AGN
-29.76525026,-27.40864522,0.233664923,1.835456,3.860344634,AGN
-23.4889229,-26.64695535,1.481222153,2.0574684,8.651111496,AGN
-29.53346362,-27.22603983,-1.008016068,2.079727,3.509023879,AGN
-26.54902175,-27.58846277,1.118315941,2.5383594,4.336829779,AGN
-29.35258603,-27.44788118,0.414507689,2.1110048,4.122657429,AGN
-26.58112134,-27.76761943,-1.536499339,2.679042,3.955520446,AGN
-31.94324946,-27.66374483,0.29023124,1.6987128,4.013472057,AGN
-25.74240638,-27.51086178,1.018681439,2.581281,4.823013215,AGN
-22.97720542,-27.27532073,1.524744535,2.2705967,6.602958258,AGN
-29.87348303,-27.91283633,-2.767861463,2.146708,3.977821633,AGN
-30.98417474,-27.62149616,0.867153527,1.983812,3.881085155,AGN
-31.00234597,-27.27676334,-2.6855017,1.9904389,3.80968526,AGN
-29.07705011,-28.02841626,0.233811562,2.289932,3.976908485,AGN
-28.08442435,-27.82278262,-1.028838889,2.4961808,4.03878155,AGN
-23.36637637,-27.13320309,1.541045641,2.1528223,7.205228737,AGN
-30.4880758,-27.76948277,1.096363223,1.9489269,3.405005645,AGN
-27.62141605,-28.04225191,-0.218564775,2.4476025,4.685066281,AGN
-29.88515808,-27.61392484,-1.512818783,2.052277,5.220568601,AGN
-25.71957924,-27.21823136,0.422014718,2.544055,4.566206447,AGN
-30.66678439,-27.63946706,0.277310582,2.0696893,3.687922843,AGN
-31.68594932,-27.66362631,-1.459325262,1.8960623,3.685554957,AGN
-27.46297597,-27.8732719,0.497227605,2.4780233,4.835877588,AGN
-30.82035785,-27.48152222,-1.340132682,2.0162776,3.938898441,AGN
-28.15564,-27.44304326,0.398086955,2.2121394,4.945201733,AGN
-29.42017599,-27.87499869,0.967595523,2.1504505,4.04169955,AGN
-30.23229377,-28.09812823,0.226919259,2.1578403,3.296886769,AGN
-25.66514837,-27.92287203,-1.866052962,2.7657125,4.704829429,AGN
-28.51239537,-27.32151276,-0.341878613,2.378005,4.169263528,AGN
-27.23643933,-27.7445185,-2.222113109,2.5060165,4.510966396,AGN
-28.78413162,-27.6667892,0.795435225,2.3149447,3.700430996,AGN
-26.36509119,-26.6455623,-0.248629373,1.9182996,6.517452081,AGN
-26.15106802,-27.30695498,0.742457598,2.2835207,5.473806144,AGN
-26.62496938,-27.70632388,0.740931576,2.460134,4.730043303,AGN
-33.12896318,-27.90141441,1.006817912,1.6087046,3.550680749,AGN
-23.80948547,-27.31408109,-0.503102214,2.8442733,4.133999189,AGN
-32.58221778,-27.77506085,0.741129415,1.6884986,3.683927754,AGN
-29.45861915,-27.55913584,0.434559051,2.0710676,3.867208999,AGN
-25.5841207,-27.17707339,1.429008409,2.0919607,6.508398946,AGN
-30.71288018,-27.6748996,0.247209892,1.9353001,3.787434399,AGN
-26.15259342,-27.56141534,0.770794362,2.4216893,5.460035515,AGN
-31.63985087,-27.73242956,0.903615467,1.7536088,4.239486101,AGN
-27.63399354,-27.60421125,-1.507252528,2.4233801,4.624404187,AGN
-27.23861198,-27.55083564,0.282490556,2.2825437,5.538971024,AGN
-29.28565041,-27.61161297,-0.033913851,2.2837563,4.078980039,AGN
-27.25745308,-27.8665354,0.432331532,2.4003832,3.929466341,AGN
-28.10668204,-27.72139313,-2.083893653,2.410067,4.707839653,AGN
-28.56378891,-26.9601733,0.557660344,1.9163166,4.422491082,AGN
-29.99846347,-27.54268645,0.122530372,1.8568014,4.038496536,AGN
-29.08878008,-27.77599391,-0.527567426,2.0915697,4.040429546,AGN
-31.67717546,-27.19348024,-1.89042743,1.9015613,3.656928926,AGN
-30.472439,-27.27729504,-1.13420753,1.8372924,4.588264243,AGN
-31.59170255,-27.17046706,-0.857608133,1.5718331,4.335024489,AGN
-23.23059868,-26.26198076,1.631461796,1.9846979,6.433269354,AGN
-29.53430281,-27.27438509,0.015576722,1.9459643,4.035682836,AGN
-30.14400999,-27.4123889,-0.134519683,1.851988,3.717110954,AGN
-23.04208119,-27.44740707,1.382529089,2.43792,5.182324662,AGN
-28.69213293,-27.97243859,-1.233501886,2.215677,3.616049308,AGN
-23.55626428,-27.32207501,1.33396327,2.4347787,5.564721148,AGN
-29.78939156,-27.18080799,-0.454480193,1.785382,4.211242083,AGN
-30.35711096,-27.91628769,0.223173782,2.2055283,3.766745476,AGN
-29.41466391,-27.45036696,-0.14215302,1.9981395,4.078976553,AGN
-29.17438912,-27.76559711,0.496736192,2.076541,4.126262347,AGN
-27.94623058,-27.27145331,0.41463267,2.3309948,4.260249058,AGN
-29.62959787,-27.57963015,0.953789002,2.2376707,3.805483902,AGN
-28.98948913,-27.80047541,-0.518509358,2.1976414,3.875560357,AGN
-29.43313562,-27.10250326,0.97182366,1.8571254,4.004714055,AGN
-30.685222,-27.3510155,-0.860035307,1.9419376,3.822761201,AGN
-30.82050424,-27.62827255,-1.084889449,2.1136942,3.188605761,AGN
-27.38651629,-27.06605806,1.149473368,1.9727213,4.812834255,AGN
-24.46469399,-27.10451894,1.439940497,2.004648,6.013001581,AGN
-30.3591665,-27.62415917,-1.968895254,1.8440667,3.93738797,AGN
-23.86447929,-27.11178038,1.008523095,2.886774,4.774926288,AGN
-26.35699404,-27.80350871,0.120423873,2.6699364,3.660934273,AGN
-28.24852581,-27.90333223,0.60741934,2.4363985,3.512534152,AGN
-34.74800384,-27.78084697,0.004272381,1.2861911,3.463404434,AGN
-31.247952,-27.16943316,0.593807882,1.694618,4.075426012,AGN
-30.11747659,-27.55374328,0.570981354,1.9280758,3.956856523,AGN
-23.42194359,-27.255611,1.502464069,2.2525651,6.548291328,AGN
-28.37597363,-27.77628134,-0.305904038,2.2174878,4.283010666,AGN
-28.01476281,-27.45122301,-0.910678772,2.3692975,4.805123572,AGN
-32.13621746,-28.02440752,-0.70088187,1.8455938,3.608665221,AGN
-26.30428439,-27.75560727,1.330434338,2.5599031,5.715910174,AGN
-28.02386586,-27.46972318,-2.043422973,2.4263618,3.48401849,AGN
-28.26434051,-27.70442816,-0.349234503,2.1540487,4.450065059,AGN
-26.98465487,-27.66665841,0.716031971,2.4078777,4.120949083,AGN
-28.23009391,-27.82420017,-0.027588638,2.383405,3.939161697,AGN
-26.52028156,-27.76577481,0.732913664,2.466377,4.213467326,AGN
-31.74088985,-27.64325948,-0.300265249,1.7343884,3.790008896,AGN
-24.3027344,-27.62205465,1.728571879,2.2044783,6.231617582,AGN
-28.45969233,-27.53020117,-0.004444388,2.4307458,3.700892352,AGN
-31.62350304,-27.41658298,0.751647117,1.8330698,3.734352603,AGN
-32.8287028,-27.68043257,0.087426785,1.5533344,3.849724324,AGN
-32.79023432,-27.67782068,0.063737501,1.6136938,3.738487899,AGN
-28.15278363,-27.34785983,-0.017430478,2.3803182,3.926647674,AGN
-27.39008655,-27.85008038,-0.5643281,2.3731678,5.824603426,AGN
-27.55660967,-27.87403701,-2.382043012,2.5295923,3.791619696,AGN
-28.52077866,-27.59709822,-0.488181616,2.4113765,3.706340203,AGN
-29.61489647,-27.97328593,-2.378956362,2.0974197,3.917249117,AGN
-25.83605157,-27.45187566,0.444636342,2.633197,4.711221396,AGN
-26.11135889,-27.30470096,0.456287816,2.5178394,5.290954896,AGN
-30.50001129,-27.85627439,0.30842821,2.1934605,3.66856592,AGN
-28.12329114,-27.5457134,0.950537108,2.3513367,3.610297265,AGN
-27.81731795,-27.94810776,0.073820398,2.5363905,3.811510558,AGN
-29.72709417,-27.71504016,0.681071981,2.1269226,3.816385524,AGN
-29.1656058,-27.96170996,0.109911236,2.3683486,3.493057871,AGN
-22.16409373,-27.24334466,2.319386515,2.2728863,7.818630691,AGN
-27.73269226,-27.78285566,-1.261686755,2.3458185,4.491001597,AGN
-25.76205774,-27.5630009,1.039385461,2.3974936,5.489461432,AGN
-26.36456078,-27.43089108,-1.114665505,2.5652943,3.783671308,AGN
-28.88400094,-27.52920243,-2.938299035,2.37288,3.540891652,AGN
-28.82375982,-27.52788856,0.84510439,2.0645688,4.085406767,AGN
-27.26301824,-27.73730771,0.285610365,2.351506,5.431009527,AGN
-26.4622882,-27.66961442,-0.055158694,2.3402746,4.939035661,AGN
-31.23074983,-27.34339429,-2.75243813,1.7450352,4.022644909,AGN
-26.76695633,-27.52847874,0.993150413,2.460699,4.810392324,AGN
-23.96898137,-27.2053434,1.000336541,2.786726,4.204086867,AGN
-27.19189554,-27.72397824,0.706124844,2.4148078,3.979392194,AGN
-24.01993002,-26.93334498,1.319269511,2.2044618,6.286380599,AGN
-28.50580514,-26.85409216,0.550448047,1.8914869,3.958908732,AGN
-27.21201435,-27.28899192,0.28021798,2.197874,4.746621375,AGN
-27.4226745,-27.83053501,-1.368615113,2.3352206,4.212830385,AGN
-31.50574679,-27.44569338,0.402235446,1.9642084,3.849850904,AGN
-28.19900448,-27.63940528,-1.107253116,2.3778424,3.890902871,AGN
-26.63106502,-27.32864832,0.018108168,2.555271,4.17271433,AGN
-25.52262318,-27.25501916,0.705485326,2.6719878,5.186666253,AGN
-23.87858342,-26.20217018,1.599838553,1.9498187,7.99008418,AGN
-30.79089811,-27.34205934,1.126464722,1.9632007,4.088186201,AGN
-29.01358844,-27.81112236,0.072118751,2.1933286,4.169516677,AGN
-27.48035761,-27.30617714,-0.552504431,2.4016232,4.205174066,AGN
-30.14337343,-27.74904873,-2.05016127,1.9883561,3.711690769,AGN
-31.16307768,-27.50775134,-0.426619034,1.9683125,3.924799843,AGN
-27.54847607,-26.8166495,0.688129791,2.0210693,5.334401887,AGN
-26.06763208,-27.78541797,0.623488137,2.5090756,5.725167472,AGN
-28.41149525,-27.76974187,1.029839317,2.1983056,4.10713128,AGN
-29.8490849,-27.8499245,-0.052683689,1.998678,4.142431121,AGN
-28.05462514,-27.81507239,0.653441755,2.3456328,3.93530814,AGN
-29.61491233,-27.53687864,-2.039650543,2.1147006,3.893739661,AGN
-30.14026607,-27.75029637,-0.305841558,2.1059592,3.872385488,AGN
-26.88496544,-27.74256056,0.845228086,2.3914285,4.09218037,AGN
-31.98141632,-27.77718072,-1.587944211,1.7706273,3.596318378,AGN
-30.37432815,-27.66490363,-1.322156858,1.9193248,4.099760536,AGN
-27.15906,-27.28686867,0.563736899,2.3947365,3.765314618,AGN
-32.51030848,-27.92640532,0.841417004,1.7243263,3.559207834,AGN
-31.10166596,-27.43492453,-0.226894404,1.9492637,3.899665393,AGN
-23.96766816,-27.2716731,0.744409593,2.4959984,6.682919164,AGN
-30.00315587,-27.3085954,0.506247154,2.1834877,4.001611657,AGN
-30.79713869,-27.93718791,-1.148787504,1.9750352,3.796221429,AGN
-27.42948557,-27.78681631,0.159449197,2.5471833,3.784886874,AGN
-29.75102066,-27.36285477,-0.524582352,1.8570904,4.027493936,AGN
-22.86824226,-27.22866962,1.843858504,2.233381,5.774164314,AGN
-25.93548965,-26.30043672,0.680357976,1.8489653,5.438832677,AGN
-28.14660926,-27.55217793,0.570973205,2.3468823,4.260767262,AGN
-24.29640664,-27.62494337,1.269595028,2.630128,5.456816336,AGN
-24.792612,-27.62965607,0.974368203,2.545942,4.96820549,AGN
-26.01211968,-27.17737972,1.084379619,2.4601622,4.579805583,AGN
-26.68919889,-27.89954032,0.542104994,2.537786,4.472388024,AGN
-27.79907433,-27.44585509,-1.944587205,2.5474758,4.031059528,AGN
-22.22378304,-26.63956674,2.198695121,2.038745,8.404384215,AGN
