flux,unc,signif_curv,Spectral_Index_1,var,GLAT,CLASS
-29.2410572301,-27.8878752225,0.6300697649,2.1296008,4.3601112195,-82.273575,AGN
-27.4075531412,-27.6524033779,0.702464312,2.4302502,4.6919259392,-80.85496,AGN
-28.2884340387,-27.7326479123,0.7384386946,2.2123487,3.9228081421,-69.37479,AGN
-29.4602091336,-27.4083949102,0.4721729846,1.8992667,3.9030504534,-58.250504,AGN
-24.1350610793,-27.6537059179,0.4226901001,3.0997996,3.9597729966,-36.293533,AGN
-28.1417296025,-27.7611327215,0.1769465339,2.3320422,4.4922770992,-17.865337,AGN
-26.9707744437,-27.7584712575,0.8056729074,2.6505406,3.8165921061,-47.106293,AGN
-29.7758110772,-27.00645678,-0.872475537,1.8618388,4.4792978988,-1.1692672,AGN
-32.0470958965,-27.6044060087,-1.0760201035,1.9038582,3.802642631,-6.628161,AGN
-31.923426055,-27.7197510731,0.5195589633,1.7528943,3.4936609864,-68.58135,AGN
-24.9164537112,-27.5495263359,0.9816945466,2.4301353,5.4820313352,-76.027435,AGN
-29.2707101774,-27.9874731922,-0.6347881363,2.1562438,3.8853762524,-70.96401,AGN
-27.8123562359,-27.9321822236,-0.3263113264,2.6276467,3.8700988304,-63.927513,AGN
-29.0164265053,-27.8303595863,0.4805422702,2.3010225,3.9607505339,-18.815077,AGN
-28.6227849924,-28.0445863312,-0.7534809666,2.3311923,4.1135778273,-75.361496,AGN
-29.3555695316,-27.482489665,1.1104558118,1.9910654,4.0606451033,-35.244762,AGN
-27.6741525458,-27.3086326262,0.1144048257,2.5568311,3.6031169225,6.918728,AGN
-27.9502509394,-26.4513042028,0.7279972081,1.6956023,4.1319835177,-22.943954,AGN
-24.2236196739,-27.0846371065,1.6610125584,2.146481,6.7534770886,-14.29814,AGN
-25.4354639894,-27.7533022304,0.9901881923,2.5176365,5.1350952085,-79.27844,AGN
-29.428261942,-27.3099764298,-0.7473388343,2.0572364,3.8577297548,-4.0902557,AGN
-31.8524486543,-27.8276579362,0.2374051355,1.8912491,3.7384322668,24.780745,AGN
-26.7272502188,-27.3207413282,0.4512575633,2.122884,4.5898771445,-68.76911,AGN
-29.5490445916,-27.4081978498,-1.6743578171,1.8384199,4.2514787847,-57.07946,AGN
-24.6113441687,-27.0014878468,1.1578757832,2.063248,5.1399086846,-34.296246,AGN
-24.6386203751,-27.6716950776,1.1178969429,2.5696132,5.7475914101,-78.065575,AGN
-28.0154411215,-27.8534692754,0.2329014669,2.5188813,3.5496083762,23.238138,AGN
-28.4984435352,-27.9685893915,-0.7649434975,2.390704,3.7198803383,-48.51751,AGN
-29.3278040987,-27.9941587513,-0.9310105277,2.1995776,3.9033340903,-62.9545,AGN
-31.402031977,-27.4966585169,0.3517964035,1.770252,4.0971728444,-9.883248,AGN
-29.9598282316,-27.6232683055,-0.3960212298,2.0207543,4.1317987705,-58.254112,AGN
-30.7554136397,-28.1646716095,-1.9356325278,2.1181767,3.7829292095,-60.316322,AGN
-29.266442687,-27.8264551331,-0.4778247958,2.3591862,3.6834650232,-54.21323,AGN
-28.175132688,-28.0445470653,-3.1123398275,2.4591627,3.521005975,-74.46135,AGN
-26.0785237179,-27.7290498338,0.5552086303,2.6539824,3.9505145522,-38.670277,AGN
-28.4051377889,-27.8845650139,-0.145800577,2.4064765,3.8750738436,-24.168026,AGN
-30.2852971333,-27.4485490872,0.0182057998,1.8866125,3.9465802513,-57.524715,AGN
-32.1242923371,-27.6936541004,0.9888780319,1.7702929,3.8992562327,12.892233,AGN
-33.6976578576,-27.6344971434,-2.0757021516,1.5670155,3.6007901218,8.97331,AGN
-28.6495472003,-27.0546097032,1.1576363746,1.8594136,4.1718043801,-51.360203,AGN
-29.2901520159,-27.8234228319,-1.4496609313,2.1833498,4.3497863841,-16.86372,AGN
-26.719308378,-27.7936277078,-3.0903232691,2.4952416,4.7897482587,-21.932318,AGN
-31.9387738978,-28.1486613893,-1.4203683577,2.0091054,3.4405842649,-65.76314,AGN
-30.2438437362,-27.551392463,1.1657220643,1.8227636,4.136889376,-61.379414,AGN
-27.0071754534,-27.9027316671,1.0503082729,2.4493937,4.3208676098,-66.78844,AGN
-28.6650055176,-27.5654859142,0.481866595,2.0226002,4.2301452052,-71.32424,AGN
-28.8348041527,-27.5026716713,-0.2505841209,2.1134186,4.1974001775,-48.65748,AGN
-29.4013604548,-27.8465323704,0.9415379965,2.0362735,4.189655898,-74.82199,AGN
-28.8820128248,-27.9451087259,-0.973765835,2.3306115,4.2324834442,-49.10242,AGN
-30.6128146518,-27.8336417012,0.9740968569,2.0475829,3.6549693522,-50.118652,AGN
-28.5520698036,-27.8265377226,-3.1053060583,2.275533,4.119304168,-18.839834,AGN
-28.9576896147,-27.9386600181,-1.3855582763,2.3125584,3.8562308722,-59.939793,AGN
-25.4722148768,-27.2015533273,1.4852097723,2.046388,6.8816335497,-29.636385,AGN
-28.5575920764,-27.3823673788,-0.1054312093,2.2215748,4.0432376352,10.477639,AGN
-32.1667219079,-27.7835968366,-0.2045766762,1.792368,3.6254974905,-35.61388,AGN
-24.6135094245,-27.5542839474,0.4689856749,2.9446244,4.2830906861,-28.147396,AGN
-26.3501421246,-27.6484570306,-1.0913622182,2.530061,4.6733441493,-44.07683,AGN
-24.2131062436,-27.7231333493,0.868400074,2.7594676,5.8188747189,-70.15621,AGN
-27.0233298489,-27.7666239338,0.0718468615,2.3310568,5.5700280754,-66.69954,AGN
-27.2015697693,-27.9852076504,-0.3279884972,2.5441499,3.9960002469,-70.239525,AGN
-28.3439740872,-27.8857071546,-0.4656237581,2.420549,3.6085676708,-46.95113,AGN
-32.5263494523,-27.7451487216,-0.0889358133,1.6951369,3.6397821167,-24.882286,AGN
-29.1785586977,-27.0810950199,-0.0976254407,1.7995075,4.4786020597,-60.74445,AGN
-30.8984004726,-27.8236158442,-0.645679456,1.972966,3.8783428658,-15.879614,AGN
-23.5484189072,-27.210121984,1.557359888,2.1697106,7.2753688469,-61.767708,AGN
-24.8605948986,-26.9225145393,1.5249415212,2.011121,6.3016943017,-47.3637,AGN
-30.0027440721,-27.948183912,0.2857263807,2.0994716,3.4997312122,-62.228806,AGN
-26.9661888211,-27.2666749773,-1.7729615866,2.6912782,3.7167157341,-6.9888363,AGN
-29.3990685283,-27.9153575985,-0.7856313407,2.1112816,4.0277820351,-70.901855,AGN
-28.5316249022,-27.5123700874,-1.5139404751,2.0985882,3.8682630381,-36.349983,AGN
-30.8268178107,-28.1231507501,-0.9358386369,2.0887089,3.5634504804,-71.85712,AGN
-31.0389298015,-27.6963233555,0.4680151201,2.041985,3.9374151934,-9.067069,AGN
-27.7160758308,-27.9691287484,-0.1094067996,2.5699754,3.8745635699,-55.52043,AGN
-27.5323228574,-27.891084413,-0.6780726799,2.5650656,3.9024091452,-45.180283,AGN
-28.5245091939,-27.8833723349,0.6798277107,2.328764,4.3806118121,-63.82494,AGN
-29.5788327605,-27.6952139415,-0.4042661347,1.980182,4.1302069515,-48.387318,AGN
-28.7996341123,-27.8983607469,0.7283788944,2.329674,3.639168308,-62.517406,AGN
-27.7124134583,-27.3456705754,0.2905212096,2.1001387,5.2871165655,-48.640324,AGN
-25.4311950974,-26.6785352181,2.241401432,2.7263994,3.6291532488,0.9379606,AGN
-23.5152348241,-27.3720916287,0.908626703,2.907354,4.7312948658,11.968312,AGN
-25.5784364357,-27.0918661937,1.0424003973,2.1929219,6.0636395654,-54.416866,AGN
-26.4676421251,-27.2632355012,0.9438129132,2.575742,5.3824724891,-22.924337,AGN
-31.6790703215,-27.7531095208,-0.4130372085,1.8571669,3.9212494149,-34.049057,AGN
-25.7204595828,-27.0514908905,-0.8871700897,2.2818148,6.0112704655,-23.4812,AGN
-26.069469131,-27.7897333614,0.0811497874,2.6010468,4.3987157034,-66.36403,AGN
-24.5374208972,-26.0416485359,1.0335895228,1.8797827,6.7856367478,-16.766998,AGN
-31.5962554562,-27.8016478649,0.0186480665,1.8222634,3.7609973839,-63.302876,AGN
-31.5038522285,-27.4325316537,-1.7386499193,1.9149779,4.0182985,6.971762,AGN
-27.0503914415,-26.887945866,1.5345571949,2.77602,3.932514883,2.1842754,AGN
-29.3831780418,-27.8047627628,-1.3412005362,2.2289107,4.0440810403,-36.51397,AGN
-25.2702528686,-27.8544127946,0.6142152043,2.6634765,5.6366988338,-69.02875,AGN
-28.5385120777,-27.6265312334,0.8380005569,2.1863747,4.5635432048,-46.592266,AGN
-30.0931466649,-27.7136813159,0.4608192875,1.9546785,3.9731658609,-64.10623,AGN
-29.2872295662,-27.6598012067,0.2550679248,2.0421445,3.7646673354,-52.817158,AGN
-28.9841673831,-27.5873393807,0.6127017277,2.1206038,4.6196277012,-34.885616,AGN
-26.2309509088,-27.7956269166,-1.3367735861,2.42586,5.9918829319,-56.473385,AGN
-26.6026075822,-27.2110338428,0.1153887804,2.6189883,3.743611306,5.948378,AGN
-30.5599144302,-28.0768860793,-0.7051022732,2.1403568,3.5488482103,-68.413826,AGN
-25.5580184148,-27.7943019853,0.5539361582,2.5390003,6.1852807983,-67.19666,AGN
-33.3734695483,-27.9285376179,0.5195342885,1.6849358,3.584325104,-54.599083,AGN
-25.6985819015,-27.6194783578,0.2508974665,2.5493844,5.3697328789,-18.501694,AGN
-30.9336750684,-27.6492881397,0.5593264422,2.0253923,3.8951431337,-36.61506,AGN
-30.9657981022,-27.8317673871,0.4620037065,2.086364,3.5228628449,-31.432169,AGN
-25.8561781287,-27.5811613275,0.734097417,2.3082178,7.2227099089,-51.30329,AGN
-30.8124996497,-27.6674649824,-2.8891208803,1.8583529,3.7627271347,-65.791534,AGN
-22.3078026382,-26.9805743969,2.1338922422,2.1620982,8.203430333,-28.521528,AGN
-30.8190950636,-27.9674256396,0.3594395639,1.9419838,3.8520025826,-64.75853,AGN
-29.7652502633,-27.4086452181,0.2336649228,1.835456,3.8603446336,-66.33661,AGN
-23.4889228977,-26.6469553456,1.4812221528,2.0574684,8.6511114965,-39.107906,AGN
-29.5334636247,-27.2260398276,-1.0080160682,2.079727,3.5090238789,5.2045503,AGN
-26.5490217456,-27.5884627704,1.1183159409,2.5383594,4.3368297793,-43.344456,AGN
-29.3525860272,-27.4478811809,0.4145076894,2.1110048,4.1226574294,10.395928,AGN
-26.581121337,-27.7676194314,-1.5364993389,2.679042,3.9555204461,-33.744534,AGN
-31.9432494556,-27.6637448303,0.2902312405,1.6987128,4.0134720574,-53.07418,AGN
-25.7424063826,-27.5108617848,1.0186814394,2.581281,4.8230132153,-31.783468,AGN
-22.977205419,-27.2753207305,1.5247445352,2.2705967,6.6029582581,-60.10464,AGN
-29.8734830264,-27.9128363264,-2.7678614633,2.146708,3.9778216328,22.427635,AGN
-30.9841747445,-27.6214961573,0.8671535274,1.983812,3.8810851552,-37.057766,AGN
-31.0023459718,-27.2767633422,-2.6855016999,1.9904389,3.8096852603,-2.624352,AGN
-29.0770501115,-28.0284162557,0.2338115619,2.289932,3.9769084846,-51.286404,AGN
-28.0844243474,-27.8227826157,-1.0288388891,2.4961808,4.0387815503,-18.533073,AGN
-23.3663763707,-27.133203094,1.5410456413,2.1528223,7.2052287365,-62.09082,AGN
-30.4880757979,-27.7694827733,1.0963632226,1.9489269,3.4050056448,-51.14207,AGN
-27.6214160458,-28.0422519081,-0.2185647754,2.4476025,4.6850662812,-54.674175,AGN
-29.8851580801,-27.6139248379,-1.512818783,2.052277,5.2205686007,-23.877834,AGN
-25.7195792434,-27.2182313614,0.4220147184,2.544055,4.5662064467,-7.2738185,AGN
-30.6667843881,-27.6394670598,0.2773105822,2.0696893,3.6879228428,-45.600952,AGN
-31.685949324,-27.6636263129,-1.4593252615,1.8960623,3.6855549567,-46.968185,AGN
-27.4629759736,-27.8732719041,0.497227605,2.4780233,4.8358775884,-56.89542,AGN
-30.8203578502,-27.4815222167,-1.3401326824,2.0162776,3.9388984414,-33.34801,AGN
-28.1556400041,-27.4430432613,0.3980869553,2.2121394,4.9452017328,-43.311123,AGN
-29.4201759899,-27.8749986897,0.9675955227,2.1504505,4.0416995503,-58.26955,AGN
-30.2322937716,-28.0981282303,0.2269192589,2.1578403,3.2968867693,-61.08884,AGN
-25.6651483694,-27.9228720259,-1.866052962,2.7657125,4.7048294293,-41.746582,AGN
-28.5123953674,-27.3215127586,-0.3418786133,2.378005,4.169263528,-4.452072,AGN
-27.236439334,-27.7445184953,-2.2221131085,2.5060165,4.5109663962,-35.979218,AGN
-28.7841316163,-27.6667891954,0.7954352253,2.3149447,3.7004309962,-23.225916,AGN
-26.3650911868,-26.6455622959,-0.2486293729,1.9182996,6.5174520813,-60.168316,AGN
-26.1510680187,-27.3069549758,0.7424575977,2.2835207,5.473806144,-9.857285,AGN
-26.6249693838,-27.7063238791,0.7409315756,2.460134,4.7300433026,-48.704227,AGN
-33.1289631771,-27.9014144056,1.006817912,1.6087046,3.550680749,-60.68744,AGN
-23.8094854663,-27.3140810945,-0.5031022136,2.8442733,4.1339991886,8.558919,AGN
-32.5822177769,-27.7750608521,0.7411294152,1.6884986,3.6839277539,-57.142666,AGN
-29.4586191501,-27.5591358376,0.4345590512,2.0710676,3.8672089995,-44.46179,AGN
-25.5841207016,-27.1770733884,1.4290084092,2.0919607,6.5083989462,-39.715294,AGN
-30.7128801769,-27.6748995975,0.2472098923,1.9353001,3.7874343993,-52.041748,AGN
-26.1525934237,-27.5614153417,0.7707943624,2.4216893,5.4600355147,-48.952663,AGN
-31.6398508662,-27.7324295635,0.903615467,1.7536088,4.2394861011,-54.892483,AGN
-27.6339935366,-27.6042112461,-1.5072525276,2.4233801,4.624404187,-16.944832,AGN
-27.2386119769,-27.5508356414,0.2824905557,2.2825437,5.5389710239,-45.508545,AGN
-29.2856504062,-27.6116129692,-0.0339138509,2.2837563,4.0789800395,-18.429363,AGN
-27.257453082,-27.8665354016,0.4323315325,2.4003832,3.9294663412,-53.97884,AGN
-28.1066820423,-27.7213931322,-2.0838936526,2.410067,4.7078396527,-52.22063,AGN
-28.5637889135,-26.960173296,0.5576603436,1.9163166,4.4224910824,-39.598804,AGN
-29.998463468,-27.5426864466,0.1225303721,1.8568014,4.0384965355,-57.75791,AGN
-29.0887800789,-27.7759939091,-0.5275674256,2.0915697,4.0404295464,-46.049824,AGN
-31.6771754592,-27.1934802406,-1.8904274304,1.9015613,3.6569289256,-13.735869,AGN
-30.472438997,-27.2772950393,-1.1342075298,1.8372924,4.5882642427,-29.649446,AGN
-31.5917025515,-27.1704670584,-0.8576081328,1.5718331,4.3350244886,-31.67412,AGN
-23.2305986789,-26.2619807565,1.6314617963,1.9846979,6.4332693536,-13.256111,AGN
-29.5343028135,-27.2743850888,0.0155767218,1.9459643,4.0356828361,-27.59371,AGN
-30.1440099908,-27.4123889032,-0.1345196831,1.851988,3.7171109538,-45.22574,AGN
-23.0420811923,-27.4474070721,1.3825290893,2.43792,5.1823246623,-18.6948,AGN
-28.6921329349,-27.9724385864,-1.2335018861,2.215677,3.6160493077,-49.859493,AGN
-23.5562642793,-27.3220750051,1.3339632696,2.4347787,5.5647211484,-28.024559,AGN
-29.7893915565,-27.1808079885,-0.4544801933,1.785382,4.2112420831,-52.950264,AGN
-30.3571109588,-27.9162876907,0.2231737823,2.2055283,3.7667454758,-53.57032,AGN
-29.4146639148,-27.4503669556,-0.1421530197,1.9981395,4.0789765531,-42.435192,AGN
-29.1743891189,-27.7655971137,0.4967361916,2.076541,4.1262623466,-46.325825,AGN
-27.9462305825,-27.2714533111,0.4146326697,2.3309948,4.2602490582,5.7109604,AGN
-29.6295978662,-27.5796301491,0.9537890022,2.2376707,3.8054839018,-12.975786,AGN
-28.9894891295,-27.8004754115,-0.5185093576,2.1976414,3.8755603567,18.48347,AGN
-29.4331356191,-27.1025032551,0.9718236597,1.8571254,4.0047140551,-21.521889,AGN
-30.6852220004,-27.3510155039,-0.8600353072,1.9419376,3.8227612011,7.8595757,AGN
-30.8205042443,-27.6282725451,-1.0848894495,2.1136942,3.1886057613,-13.534715,AGN
-27.3865162916,-27.0660580576,1.1494733679,1.9727213,4.8128342554,-54.36542,AGN
-24.4646939885,-27.1045189397,1.4399404967,2.004648,6.0130015811,-54.05846,AGN
-30.3591664987,-27.6241591659,-1.9688952538,1.8440667,3.9373879696,-52.901325,AGN
-23.8644792875,-27.111780384,1.0085230946,2.886774,4.7749262878,-18.872059,AGN
-26.3569940446,-27.8035087079,0.1204238725,2.6699364,3.6609342728,-48.896187,AGN
-28.2485258114,-27.9033322259,0.6074193404,2.4363985,3.5125341521,-53.90389,AGN
-34.748003843,-27.7808469677,0.0042723812,1.2861911,3.4634044336,-52.612026,AGN
-31.2479520042,-27.1694331576,0.593807882,1.694618,4.0754260121,-32.921124,AGN
