0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
4FGL J0222.4+6156e,133.41885,0.9361786,1458.3889,-18.205159872220534,2.4307818,0.030976178,0.22853066,14.274336,0.1583215,-0.32185888,0.001128353,0.6666667,-0.66550505,-0.75164276,-0.9112924,-0.6238322,1.989672457725362,LogParabola,0.024264878,0.09040477,3FGL J0223.6+6204,,snr,,W 3,HB 3 field,,,4,0.0011276688702925863,0.998872331129723,0.3150483787698027,0.6849516212301978,0.00023606751125506976,0.9997639324887448,0.09130906085945183,0.9086909391405493,1.0,0.812,1.0,1.0
4FGL J0240.5+6113,135.68022,1.0876453,1177.757,-16.8655612810944,2.3717105,0.008191214,0.15187922,28.226702,-0.13987109,-0.4753456,1.2364417E-4,0.6666667,-0.64861304,-0.70558125,-0.8729564,-0.7386893,5.297133346781401,LogParabola,0.0053875674,0.012195752,3FGL J0240.5+6113,3FHL J0240.5+6113,HMB,,LSI +61 303,,1.0,0.9958602,0,0.987995004617113,0.012004995382899005,0.3036947408071075,0.6963052591928919,1.3865304607150186e-06,0.9999986134695389,0.7069125273223436,0.2930874726776576,0.0,0.818,1.0,0.002
4FGL J0242.6-0000,172.09357,-51.930832,836.02264,-21.272130838343468,2.3761196,0.06984864,0.03636767,0.9410782,-0.49752656,-0.5242195,9.1778196E-4,0.6666667,-0.726952,-0.7044718,-0.28194702,-0.99989873,2.4761819188414838,PowerLaw,0.04027592,0.107514046,3FGL J0242.7-0001,3FHL J0242.7-0002,sbg,,NGC 1068,,0.9995775,0.99712574,0,0.9994184720337395,0.0005815279662802673,0.9801560280351069,0.01984397196489218,0.9995926232370075,0.0004073767629943004,0.9977275456953264,0.0022724543046738406,0.0,0.0,0.0,0.0
4FGL J0359.7+4445,154.47958,-6.2716684,2476.3506,-21.977277114639158,2.2757714,0.120240875,-0.05721055,1.1608398,-0.97031224,0.9947064,9.3643105E-4,0.6666667,-0.9490949,-0.029170379,-0.922533,0.7632518,2.030753889264676,PowerLaw,0.040437523,0.13543646,,,unk,,1RXS J040006.3+444512,,0.0,0.8784544,1,0.9983764957561043,0.0016235042439223207,0.9727453916665972,0.027254608333402236,0.9963971358148802,0.0036028641851193117,0.9847137210652703,0.015286278934729109,0.0,0.0,0.0,0.0
4FGL J0402.5+5402,148.71283,1.0319921,9200.324,-22.12607237179966,1.9700702,0.1996345,0.012072536,0.119218245,-0.9542407,0.9916611,3.1236964E-4,0.6666667,0.16275296,-0.6643018,-0.5085757,-0.22396924,2.5269435737071686,PowerLaw,0.08639765,0.23861699,,,unk,,TXS 0358+539,,0.0,0.86799777,0,0.9996560065793797,0.0003439934206079797,0.9673580341398413,0.03264196586015817,0.998335365626618,0.0016646343733818204,0.9958547120763453,0.004145287923654182,0.0,0.001,0.0,0.0
4FGL J0427.2+5533e,150.24223,4.5783525,8970.799,-19.640341503387468,1.6904359,0.04843734,0.07336422,3.4200754,-0.9965278,0.9973207,7.3822615E-5,0.6666667,0.022041429,-0.21726425,-0.30358368,-0.3475554,2.0090812182830544,LogParabola,0.021334838,0.055489853,3FGL J0425.8+5600,3FHL J0427.2+5533e,SNR,,SNR G150.3+04.5,,,,4,0.39922912871145627,0.6007708712885445,0.9360513802558225,0.06394861974417687,0.9501049803848767,0.04989501961512242,0.93385547333291,0.06614452666708995,1.0,0.015,0.0,0.0
4FGL J0500.3+4639e,160.36945,2.6909337,933.2845,-19.576046240545967,2.3527281,0.074586496,0.24095973,5.837267,-0.28579748,-0.36577183,0.0023350036,0.6666667,-0.7095791,-0.63843805,-0.8515931,-0.5696059,1.7132421850435426,LogParabola,0.059158377,0.18323293,2FGL J0503.2+4643,,SNR,,HB 9,,,,0,0.25609216819063896,0.7439078318093459,0.42112179665400595,0.5788782033459946,0.4504944988926845,0.5495055011073156,0.3601456483045912,0.6398543516954084,1.0,0.726,0.942,0.988
4FGL J0519.9-6845e,279.35507,-33.386795,1198.9558,-18.130395531480616,2.182243,0.027489206,0.1776847,13.204758,0.0068637184,-0.25001252,7.6892495E-4,0.6666667,-0.58752483,-0.6481806,-0.8370162,-0.19420335,2.1596574729568507,LogParabola,0.018672898,0.06206598,3FGL J0526.6-6825e,,GAL,,LMC,,,,512,0.02770967384179356,0.9722903261582292,0.3680990897692845,0.6319009102307155,0.00509882112877235,0.9949011788712273,0.27740201034103695,0.7225979896589637,1.0,0.775,1.0,1.0
4FGL J0521.2+1637,187.42412,-11.330111,1563.1183,-21.881030703035968,2.3708375,0.23195834,0.14812626,1.176986,0.0012354794,-0.58992404,0.0033416725,0.6666667,-0.57069737,-0.55617744,-0.79349923,-0.9999998,3.8431019294159445,PowerLaw,0.13227093,0.51533103,,,css,,3C 138,,0.99609286,0.99724627,0,0.9999362459016944,6.375409832494556e-05,0.9751773585668768,0.024822641433124147,0.9997705145229814,0.000229485477018527,0.994590386474127,0.005409613525873483,0.0,0.0,0.0,0.0
4FGL J0524.4-2413,226.91878,-29.202547,420.6772,-22.911612676040246,2.8489308,0.18622966,0.01627709,0.16824341,-0.38931468,-0.73187876,0.004370993,0.6666667,-0.7787664,-0.7551149,-0.9999953,0.98095053,2.6146725412563305,PowerLaw,0.1013926,0.320514,,,glc,,NGC 1904,,0.9633442,0.8323558,256,0.9999323970245018,6.760297551453533e-05,0.989253179075746,0.010746820924253898,0.999622529564432,0.0003774704355685982,0.9969374750637942,0.003062524936206649,0.0,0.0,0.0,0.0
4FGL J0524.8-6938,280.30667,-32.79878,4305.3696,-22.1820415167975,2.0746531,0.18368633,-2.828927E-4,0.0,-0.3783007,-0.5252061,4.991497E-4,0.6666667,-0.8634044,-0.5014743,-0.032536943,-0.6206067,2.045245368120914,PowerLaw,0.060336437,0.25368804,3FGL J0524.5-6937,,snr,,LMC SNR N 132D,LMC-Galaxy field,0.8,0.0,0,0.9998848606923064,0.00011513930768437819,0.9738179850138208,0.0261820149861792,0.9998208194359207,0.00017918056408009714,0.9986918953369913,0.0013081046630082516,0.0,0.0,0.0,0.0
4FGL J0526.7+4254,166.15872,4.3091006,655.72253,-21.434278184727734,2.659573,0.1820713,0.21234687,2.3255284,-0.6410337,-0.3040222,0.004695828,0.6666667,-0.8056967,-0.7402494,-0.9982416,-0.87952024,1.609682881358648,PowerLaw,0.11833171,0.38580802,3FGL J0526.0+4253,,snr,,SNR G166.0+04.3,,0.8,0.8457636,0,0.9691098876323567,0.030890112367658408,0.9644463442596813,0.03555365574031792,0.9409891514998467,0.05901084850015241,0.9414939712832496,0.05850602871675081,0.0,0.0,0.0,0.0
4FGL J0534.5+2201s,184.55287,-5.781456,50.548336,-20.960084084650283,3.8646383,0.06282914,0.5210417,1.7930875,-0.60067636,-0.9388299,0.019771222,0.6666667,-0.911851,-0.9969491,0.3961471,-0.93417215,6.290011077813611,PowerLaw,0.118690744,0.26165476,3FGL J0534.5+2201s,3FHL J0534.5+2201,PWN,,Crab Nebula,,1.0,0.9998551,20,0.9996920547699515,0.00030794523007045174,0.9485695662137529,0.05143043378624637,0.9999950488810944,4.951118905223108e-06,0.8722680482469328,0.12773195175306787,0.0,0.014,0.0,0.0
4FGL J0535.2-6736,277.75247,-32.160187,752.282,-21.161034453557892,2.624482,0.090004645,0.15324895,2.9743564,-0.049368676,-0.7845492,0.003025511,0.6666667,-0.6454642,-0.84569186,-0.96556413,-0.40421575,1.7008062534394184,LogParabola,0.060864482,0.21535945,,,HMB,,LMC P3,LMC-Galaxy field,1.0,0.9778559,0,0.9734732130034388,0.026526786996570805,0.9736073902584762,0.026392609741522972,0.9513590571375126,0.0486409428624868,0.9248539036503036,0.07514609634969535,0.0,0.0,0.0,0.0
