0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
4FGL J0000.3-7355,307.70898,-42.729538,2430.1826,-22.483841131359625,2.119125,0.25751528,0.08968772,0.6184386,-0.9960373,0.93898755,0.0016885875,0.6666667,-0.58789384,-0.46454003,-0.6292898,-0.9996481,2.159249104310168,PowerLaw,0.14627089,0.39123338,,,,,0.0,0.0,0,0.999863359942765,0.00013664005723296196,0.9746875314265835,0.02531246857341638,0.999512377357489,0.00048762264251119773,0.9978457641738178,0.0021542358261821414,0.0,0.0,0.0,0.0
4FGL J0003.3+2511,109.38164,-36.411484,1612.2313,-22.355321090591,2.209443,0.31500685,0.41627398,2.120038,0.77953553,-0.5709804,0.009460228,0.6666667,-0.34649104,-0.693337,-0.68017524,-0.9834204,0.9459222329364977,PowerLaw,0.32086015,1.0453527,,,,,0.0,0.0,0,0.99983435817569,0.00016564182430739218,0.9209564593089434,0.07904354069105674,0.8878201214714743,0.11217987852852612,0.9782699067869229,0.02173009321307612,0.0,0.001,0.0,0.0
4FGL J0003.6+3059,111.004486,-30.771994,1367.2732,-21.536510484875254,2.2234128,0.2737722,0.6783473,4.395897,0.946137,-0.30623183,0.007885308,0.6666667,-0.18627536,-0.7547651,-0.85793644,-0.99782455,1.6119296175686424,LogParabola,0.25180805,0.8389943,3FGL J0003.4+3100,,,,0.0,0.0,0,0.9318422424146379,0.06815775758535379,0.5331771680350894,0.4668228319649108,0.5420406054639748,0.45795939453602574,0.8280916175037208,0.17190838249627854,0.0,0.506,0.44,0.0
4FGL J0004.0+5715,116.52632,-5.0228662,1378.5641,-21.69496100500525,2.4375134,0.23494162,0.27710062,2.2947636,0.99195033,0.2330916,0.0046581076,0.6666667,-0.6546432,-0.5928602,-0.9882191,-0.9968712,2.415434339865422,PowerLaw,0.17424358,0.5546416,3FGL J0003.5+5721,,,,0.0,0.0,0,0.9905103632850406,0.009489636714934723,0.9544381967412784,0.045561803258720876,0.926113295051536,0.07388670494846399,0.968918771680529,0.03108122831947053,0.0,0.0,0.0,0.0
4FGL J0004.4-4001,336.9915,-73.84534,1243.006,-22.55135493570753,2.4249508,0.14729057,-0.027007917,0.3422165,-0.07757718,-0.781518,0.0010227567,0.6666667,-0.56201136,-0.65176815,-0.7525004,-0.39933,2.9187022183482143,PowerLaw,0.068658195,0.21702,,,,,0.0,0.0,4,0.9999022834856528,9.771651435250607e-05,0.9810927162335021,0.01890728376649773,0.9999038174587191,9.618254128107665e-05,0.9979183680854355,0.002081631914564171,0.0,0.0,0.0,0.0
4FGL J0005.6+6746c,118.60844,5.282127,1240.5938,-21.6309456537906,2.6314557,0.2878915,0.32071975,2.689085,0.9852871,0.9764428,0.006553203,0.6666667,-0.7463456,-0.8327146,-0.84040207,-0.9997997,1.8049843705876478,PowerLaw,0.18199188,0.54935044,,,,,0.0,0.0,56,0.9480374937646653,0.0519625062353534,0.7440621423130065,0.2559378576869932,0.6338488712255232,0.366151128774478,0.9196335319606724,0.08036646803932661,0.0,0.135,0.271,0.0
4FGL J0006.6+4618,114.92035,-15.869719,1215.221,-22.31293827876488,2.521416,0.12419312,-0.050101988,0.8819638,0.743678,-0.8633664,0.0012056957,0.6666667,-0.7528888,-0.3601912,-0.7494455,-0.9999925,2.432023270474068,PowerLaw,0.048874963,0.15938121,3FGL J0006.6+4618,,,,0.0,0.0,0,0.9997422096226092,0.000257790377373722,0.9755743556052514,0.024425644394749535,0.9965479054854334,0.0034520945145667978,0.9983969169019324,0.0016030830980667337,0.0,0.0,0.0,0.0
4FGL J0008.4+6926,119.14811,6.885729,3047.682,-21.85704524533681,2.3719156,0.22492553,0.10302104,1.0564419,0.9988942,0.99967754,0.0021455833,0.6666667,-0.61695856,-0.7522733,-0.28375107,-0.9999608,2.3818027522036784,PowerLaw,0.11486513,0.4245506,,,,,0.0,0.0,0,0.9996893498713406,0.0003106501286690946,0.9691062559136245,0.030893744086375307,0.9877001121742154,0.012299887825783722,0.9872941517563496,0.012705848243649655,0.0,0.0,0.0,0.0
4FGL J0008.9+2509,110.91511,-36.72459,369.76093,-22.769821532915714,2.8815272,0.213211,0.20584151,1.475534,-0.59508824,-0.50279725,0.012305561,0.6666667,-0.8196711,-0.98260194,-0.87082124,-0.99695784,2.3534583630035915,PowerLaw,0.16841836,0.5522985,,,,,0.0,0.0,0,0.9997222027253423,0.0002777972746725325,0.9843948122288286,0.01560518777117042,0.9945788085115191,0.005421191488479428,0.9895615979717777,0.01043840202822192,0.0,0.0,0.0,0.0
4FGL J0009.1-5012,319.3951,-65.54536,1061.3572,-22.477900703638415,2.4078472,0.20013253,0.15148015,1.375943,0.97284263,-0.55746925,0.0043052034,0.6666667,-0.72268534,-0.58767265,-0.96198916,-0.99504125,2.6593732412030335,PowerLaw,0.13365895,0.4234309,,,,,0.0,0.0,0,0.9996500032392601,0.0003499967607230039,0.9820004091514584,0.017999590848540466,0.9973819873489034,0.002618012651096025,0.9948872663567506,0.005112733643249985,0.0,0.0,0.0,0.0
